tag, value
  0, on , 2392
  1, on , 2392
  2, on , 2393
  3, off, 2393
  4, off, 2401
  5, off, 2392
  6, on , 2400
  7, on , 2392
  8, on , 2400
  9, off, 2400
 10, off, 2400
 11, off, 2392
 12, on , 2400
 13, on , 2400
 14, on , 2400
 15, off, 2400
 16, off, 2392
 17, off, 2393
 18, on , 2400
 19, on , 2400
 20, on , 2392
 21, off, 2400
 22, off, 2392
 23, off, 2392
 24, on , 2400
 25, on , 2392
 26, on , 2400
 27, off, 2400
 28, off, 2400
 29, off, 2400
 30, on , 2393
 31, on , 2400
 32, on , 2400
 33, off, 2400
 34, off, 2401
 35, off, 2400
 36, on , 2400
 37, on , 2401
 38, on , 2400
 39, off, 2400
 40, off, 2401
 41, off, 2400
 42, on , 2400
 43, on , 2401
 44, on , 2400
 45, off, 2400
 46, off, 2400
 47, off, 2392
 48, on , 2400
 49, on , 2400
 50, on , 2401
 51, off, 2401
 52, off, 2401
 53, off, 2392
 54, on , 2392
 55, on , 2392
 56, on , 2400
 57, off, 2393
 58, off, 2401
 59, off, 2393
 60, on , 2392
 61, on , 2392
 62, on , 2392
 63, off, 2400
 64, off, 2401
 65, off, 2400
 66, on , 2400
 67, on , 2400
 68, on , 2401
 69, off, 2400
 70, off, 2401
 71, off, 2400
 72, on , 2401
 73, on , 2400
 74, on , 2400
 75, off, 2400
 76, off, 2401
 77, off, 2393
 78, on , 2401
 79, on , 2401
 80, on , 2401
 81, off, 2400
 82, off, 2392
 83, off, 2392
 84, on , 2400
 85, on , 2400
 86, on , 2393
 87, off, 2400
 88, off, 2392
 89, off, 2392
 90, on , 2401
 91, on , 2400
 92, on , 2393
 93, off, 2401
 94, off, 2385
 95, off, 2400
 96, on , 2392
 97, on , 2401
 98, on , 2392
 99, off, 2400
100, off, 2393
101, off, 2392
102, on , 2393
103, on , 2393
104, on , 2393
105, off, 2400
106, off, 2400
107, off, 2400
108, on , 2401
109, on , 2400
110, on , 2393
111, off, 2400
112, off, 2400
113, off, 2392
114, on , 2400
115, on , 2392
116, on , 2400
117, off, 2393
118, off, 2400
119, off, 2400
120, on , 2392
121, on , 2400
122, on , 2400
123, off, 2392
124, off, 2400
125, off, 2392
126, on , 2392
127, on , 2393
128, on , 2400
129, off, 2400
130, off, 2392
131, off, 2400
132, on , 2400
133, on , 2400
134, on , 2393
135, off, 2400
136, off, 2401
137, off, 2392
138, on , 2393
139, on , 2392
140, on , 2393
141, off, 2401
142, off, 2392
143, off, 2392
144, on , 2400
145, on , 2393
146, on , 2392
147, off, 2401
148, off, 2392
149, off, 2400
150, on , 2400
151, on , 2400
152, on , 2401
153, off, 2401
154, off, 2400
155, off, 2400
156, on , 2392
157, on , 2400
158, on , 2400
159, off, 2392
160, off, 2400
161, off, 2393
162, on , 2392
163, on , 2400
164, on , 2392
165, off, 2392
166, off, 2393
167, off, 2401
168, on , 2400
169, on , 2392
170, on , 2393
171, off, 2400
172, off, 2401
173, off, 2392
174, on , 2401
175, on , 2400
176, on , 2400
177, off, 2400
178, off, 2392
179, off, 2392
180, on , 2400
181, on , 2400
182, on , 2401
183, off, 2392
184, off, 2400
185, off, 2392
186, on , 2400
187, on , 2400
188, on , 2392
189, off, 2400
190, off, 2400
191, off, 2400
192, on , 2401
193, on , 2392
194, on , 2400
195, off, 2400
196, off, 2408
197, off, 2400
198, on , 2400
199, on , 2400
200, on , 2400
201, off, 2400
202, off, 2400
203, off, 2401
204, on , 2400
205, on , 2392
206, on , 2392
207, off, 2400
208, off, 2401
209, off, 2393
210, on , 2400
211, on , 2392
212, on , 2400
213, off, 2393
214, off, 2400
215, off, 2392
216, on , 2392
217, on , 2392
218, on , 2400
219, off, 2393
220, off, 2400
221, off, 2392
222, on , 2400
223, on , 2393
224, on , 2392
225, off, 2401
226, off, 2400
227, off, 2392
228, on , 2393
229, on , 2400
230, on , 2392
231, off, 2400
232, off, 2400
233, off, 2401
234, on , 2400
235, on , 2400
236, on , 2400
237, off, 2400
238, off, 2400
239, off, 2400
240, on , 2400
241, on , 2400
242, on , 2400
243, off, 2400
244, off, 2400
245, off, 2400
246, on , 2392
247, on , 2392
248, on , 2400
249, off, 2401
250, off, 2392
251, off, 2392
252, on , 2393
253, on , 2392
254, on , 2393
255, off, 2400
256, off, 2392
257, off, 2401
258, on , 2400
259, on , 2393
260, on , 2400
261, off, 2392
262, off, 2392
263, off, 2400
264, on , 2400
265, on , 2400
266, on , 2400
267, off, 2401
268, off, 2392
269, off, 2393
270, on , 2393
271, on , 2400
272, on , 2401
273, off, 2400
274, off, 2400
275, off, 2400
276, on , 2400
277, on , 2401
278, on , 2400
279, off, 2392
280, off, 2400
281, off, 2392
282, on , 2401
283, on , 2392
284, on , 2400
285, off, 2400
286, off, 2392
287, off, 2392
288, on , 2392
289, on , 2393
290, on , 2400
291, off, 2392
292, off, 2392
293, off, 2393
294, on , 2400
295, on , 2392
296, on , 2400
297, off, 2401
298, off, 2401
299, off, 2400
300, on , 2400
301, on , 2392
302, on , 2392
303, off, 2392
304, off, 2392
305, off, 2400
306, on , 2400
307, on , 2392
308, on , 2392
309, off, 2393
310, off, 2400
311, off, 2401
312, on , 2401
313, on , 2400
314, on , 2400
315, off, 2400
316, off, 2400
317, off, 2400
318, on , 2392
319, on , 2400
320, on , 2400
321, off, 2400
322, off, 2400
323, off, 2401
324, on , 2393
325, on , 2401
326, on , 2400
327, off, 2400
328, off, 2400
329, off, 2393
330, on , 2400
331, on , 2393
332, on , 2400
333, off, 2400
334, off, 2393
335, off, 2392
336, on , 2400
337, on , 2400
338, on , 2400
339, off, 2400
340, off, 2393
341, off, 2392
342, on , 2392
343, on , 2392
344, on , 2392
345, off, 2401
346, off, 2392
347, off, 2400
348, on , 2400
349, on , 2392
350, on , 2384
351, off, 2392
352, off, 2400
353, off, 2393
354, on , 2400
355, on , 2392
356, on , 2400
357, off, 2400
358, off, 2400
359, off, 2400
360, on , 2401
361, on , 2393
362, on , 2392
363, off, 2400
364, off, 2400
365, off, 2392
366, on , 2400
367, on , 2393
368, on , 2392
369, off, 2392
370, off, 2400
371, off, 2392
372, on , 2392
373, on , 2392
374, on , 2401
375, off, 2392
376, off, 2393
377, off, 2400
378, on , 2392
379, on , 2392
380, on , 2392
381, off, 2400
382, off, 2393
383, off, 2392
384, on , 2392
385, on , 2392
386, on , 2392
387, off, 2392
388, off, 2392
389, off, 2400
390, on , 2400
391, on , 2392
392, on , 2400
393, off, 2392
394, off, 2400
395, off, 2400
396, on , 2401
397, on , 2408
398, on , 2401
399, off, 2392
400, off, 2400
401, off, 2393
402, on , 2392
403, on , 2400
404, on , 2401
405, off, 2392
406, off, 2400
407, off, 2401
408, on , 2392
409, on , 2384
410, on , 2400
411, off, 2400
412, off, 2392
413, off, 2392
414, on , 2393
415, on , 2393
416, on , 2392
417, off, 2400
418, off, 2392
419, off, 2400
420, on , 2400
421, on , 2392
422, on , 2393
423, off, 2393
424, off, 2400
425, off, 2392
426, on , 2392
427, on , 2392
428, on , 2392
429, off, 2393
430, off, 2392
431, off, 2400
432, on , 2400
433, on , 2401
434, on , 2400
435, off, 2400
436, off, 2401
437, off, 2393
438, on , 2401
439, on , 2400
440, on , 2401
441, off, 2400
442, off, 2401
443, off, 2400
444, on , 2392
445, on , 2400
446, on , 2392
447, off, 2393
448, off, 2400
449, off, 2400
450, on , 2393
451, on , 2401
452, on , 2401
453, off, 2400
454, off, 2384
455, off, 2400
456, on , 2401
457, on , 2400
458, on , 2392
459, off, 2400
460, off, 2392
461, off, 2401
462, on , 2401
463, on , 2393
464, on , 2400
