tag, value
  0, on , 2385
  1, on , 2385
  2, on , 2385
  3, off, 2392
  4, off, 2384
  5, off, 2393
  6, on , 2392
  7, on , 2392
  8, on , 2384
  9, off, 2392
 10, off, 2392
 11, off, 2392
 12, on , 2392
 13, on , 2392
 14, on , 2393
 15, off, 2400
 16, off, 2384
 17, off, 2392
 18, on , 2393
 19, on , 2384
 20, on , 2392
 21, off, 2384
 22, off, 2384
 23, off, 2401
 24, on , 2384
 25, on , 2385
 26, on , 2384
 27, off, 2384
 28, off, 2392
 29, off, 2385
 30, on , 2392
 31, on , 2385
 32, on , 2384
 33, off, 2384
 34, off, 2384
 35, off, 2384
 36, on , 2385
 37, on , 2384
 38, on , 2393
 39, off, 2385
 40, off, 2384
 41, off, 2392
 42, on , 2385
 43, on , 2385
 44, on , 2392
 45, off, 2385
 46, off, 2384
 47, off, 2393
 48, on , 2392
 49, on , 2384
 50, on , 2384
 51, off, 2392
 52, off, 2384
 53, off, 2392
 54, on , 2393
 55, on , 2392
 56, on , 2384
 57, off, 2392
 58, off, 2393
 59, off, 2392
 60, on , 2392
 61, on , 2393
 62, on , 2384
 63, off, 2393
 64, off, 2392
 65, off, 2392
 66, on , 2384
 67, on , 2384
 68, on , 2392
 69, off, 2384
 70, off, 2384
 71, off, 2392
 72, on , 2392
 73, on , 2385
 74, on , 2392
 75, off, 2384
 76, off, 2392
 77, off, 2384
 78, on , 2384
 79, on , 2392
 80, on , 2385
 81, off, 2384
 82, off, 2384
 83, off, 2384
 84, on , 2384
 85, on , 2385
 86, on , 2384
 87, off, 2385
 88, off, 2393
 89, off, 2384
 90, on , 2385
 91, on , 2400
 92, on , 2393
 93, off, 2384
 94, off, 2392
 95, off, 2392
 96, on , 2384
 97, on , 2384
 98, on , 2384
 99, off, 2392
100, off, 2393
101, off, 2392
102, on , 2385
103, on , 2392
104, on , 2392
105, off, 2384
106, off, 2385
107, off, 2385
108, on , 2392
109, on , 2384
110, on , 2384
111, off, 2384
112, off, 2385
113, off, 2384
114, on , 2393
115, on , 2384
116, on , 2384
117, off, 2385
118, off, 2385
119, off, 2385
120, on , 2384
121, on , 2384
122, on , 2385
123, off, 2393
124, off, 2384
125, off, 2384
126, on , 2393
127, on , 2384
128, on , 2384
129, off, 2384
130, off, 2392
131, off, 2384
132, on , 2384
133, on , 2385
134, on , 2385
135, off, 2392
136, off, 2392
137, off, 2392
138, on , 2393
139, on , 2392
140, on , 2392
141, off, 2385
142, off, 2392
143, off, 2400
144, on , 2393
145, on , 2392
146, on , 2385
147, off, 2384
148, off, 2392
149, off, 2384
150, on , 2393
151, on , 2385
152, on , 2384
153, off, 2392
154, off, 2384
155, off, 2392
156, on , 2384
157, on , 2392
158, on , 2392
159, off, 2384
160, off, 2392
161, off, 2384
162, on , 2384
163, on , 2384
164, on , 2384
165, off, 2392
166, off, 2384
167, off, 2384
168, on , 2384
169, on , 2384
170, on , 2384
171, off, 2392
172, off, 2384
173, off, 2384
174, on , 2392
175, on , 2392
176, on , 2392
177, off, 2392
178, off, 2393
179, off, 2392
180, on , 2392
181, on , 2393
182, on , 2393
183, off, 2400
184, off, 2393
185, off, 2392
186, on , 2392
187, on , 2392
188, on , 2392
189, off, 2384
190, off, 2392
191, off, 2384
192, on , 2384
193, on , 2384
194, on , 2384
195, off, 2384
196, off, 2392
197, off, 2384
198, on , 2393
199, on , 2392
200, on , 2385
201, off, 2385
202, off, 2392
203, off, 2385
204, on , 2392
205, on , 2384
206, on , 2384
207, off, 2384
208, off, 2392
209, off, 2384
210, on , 2392
211, on , 2384
212, on , 2392
213, off, 2385
214, off, 2392
215, off, 2392
216, on , 2385
217, on , 2392
218, on , 2400
219, off, 2392
220, off, 2392
221, off, 2392
222, on , 2385
223, on , 2385
224, on , 2384
225, off, 2392
226, off, 2392
227, off, 2392
228, on , 2392
229, on , 2385
230, on , 2385
231, off, 2384
232, off, 2384
233, off, 2392
234, on , 2384
235, on , 2392
236, on , 2384
237, off, 2392
238, off, 2384
239, off, 2384
240, on , 2392
241, on , 2384
242, on , 2385
243, off, 2384
244, off, 2392
245, off, 2384
246, on , 2385
247, on , 2384
248, on , 2392
249, off, 2384
250, off, 2384
251, off, 2384
252, on , 2400
253, on , 2392
254, on , 2392
255, off, 2392
256, off, 2400
257, off, 2392
258, on , 2392
259, on , 2393
260, on , 2384
261, off, 2393
262, off, 2392
263, off, 2392
264, on , 2392
265, on , 2384
266, on , 2384
267, off, 2392
268, off, 2384
269, off, 2393
270, on , 2384
271, on , 2384
272, on , 2384
273, off, 2384
274, off, 2385
275, off, 2384
276, on , 2384
277, on , 2385
278, on , 2384
279, off, 2393
280, off, 2385
281, off, 2392
282, on , 2385
283, on , 2392
284, on , 2392
285, off, 2384
286, off, 2384
287, off, 2384
288, on , 2385
289, on , 2384
290, on , 2384
291, off, 2384
292, off, 2385
293, off, 2393
294, on , 2392
295, on , 2392
296, on , 2393
297, off, 2384
298, off, 2392
299, off, 2384
300, on , 2392
301, on , 2392
302, on , 2393
303, off, 2392
304, off, 2384
305, off, 2393
306, on , 2392
307, on , 2385
308, on , 2384
309, off, 2393
310, off, 2392
311, off, 2384
312, on , 2385
313, on , 2384
314, on , 2393
315, off, 2384
316, off, 2384
317, off, 2384
318, on , 2393
319, on , 2384
320, on , 2384
321, off, 2384
322, off, 2384
323, off, 2392
324, on , 2384
325, on , 2392
326, on , 2385
327, off, 2384
328, off, 2385
329, off, 2384
330, on , 2385
331, on , 2392
332, on , 2384
333, off, 2392
334, off, 2392
335, off, 2384
336, on , 2384
337, on , 2392
338, on , 2384
339, off, 2392
340, off, 2392
341, off, 2385
342, on , 2392
343, on , 2392
344, on , 2392
345, off, 2393
346, off, 2392
347, off, 2385
348, on , 2384
349, on , 2392
350, on , 2393
351, off, 2392
352, off, 2385
353, off, 2384
354, on , 2384
355, on , 2384
356, on , 2385
357, off, 2384
358, off, 2392
359, off, 2384
360, on , 2400
361, on , 2384
362, on , 2392
363, off, 2392
364, off, 2384
365, off, 2392
366, on , 2384
367, on , 2384
368, on , 2385
369, off, 2384
370, off, 2385
371, off, 2393
372, on , 2384
373, on , 2384
374, on , 2384
375, off, 2393
376, off, 2384
377, off, 2393
378, on , 2392
379, on , 2392
380, on , 2384
381, off, 2384
382, off, 2392
383, off, 2392
384, on , 2392
385, on , 2392
386, on , 2392
387, off, 2384
388, off, 2385
389, off, 2393
390, on , 2393
391, on , 2384
392, on , 2392
393, off, 2385
394, off, 2384
395, off, 2384
396, on , 2385
397, on , 2392
398, on , 2384
399, off, 2384
400, off, 2384
401, off, 2393
402, on , 2385
403, on , 2385
404, on , 2392
405, off, 2384
406, off, 2384
407, off, 2392
408, on , 2384
409, on , 2384
410, on , 2384
411, off, 2384
412, off, 2384
413, off, 2384
414, on , 2385
415, on , 2384
416, on , 2384
417, off, 2384
418, off, 2392
419, off, 2392
420, on , 2392
421, on , 2385
422, on , 2392
423, off, 2393
424, off, 2392
425, off, 2392
426, on , 2384
427, on , 2384
428, on , 2384
429, off, 2392
430, off, 2384
431, off, 2392
432, on , 2385
433, on , 2385
434, on , 2384
435, off, 2384
436, off, 2384
437, off, 2385
438, on , 2385
439, on , 2384
440, on , 2384
441, off, 2385
442, off, 2384
443, off, 2393
444, on , 2393
445, on , 2384
446, on , 2384
447, off, 2384
448, off, 2384
449, off, 2385
450, on , 2384
451, on , 2385
452, on , 2384
