tag, value
0, on, 2480
1, on, 2481
2, on, 2480
3, off, 2432
4, off, 2432
5, off, 2424
6, on, 2456
7, on, 2448
8, on, 2456
9, off, 2432
10, off, 2424
11, off, 2416
12, on, 2457
13, on, 2456
14, on, 2456
15, off, 2424
16, off, 2424
17, off, 2416
18, on, 2456
19, on, 2457
20, on, 2457
21, off, 2424
22, off, 2424
23, off, 2424
24, on, 2448
25, on, 2456
26, on, 2456
27, off, 2424
28, off, 2424
29, off, 2417
30, on, 2449
31, on, 2456
32, on, 2456
33, off, 2424
34, off, 2416
35, off, 2417
36, on, 2456
37, on, 2456
38, on, 2448
39, off, 2425
40, off, 2417
41, off, 2424
42, on, 2456
43, on, 2456
44, on, 2456
45, off, 2424
46, off, 2424
47, off, 2416
48, on, 2456
49, on, 2456
50, on, 2456
51, off, 2425
52, off, 2417
53, off, 2424
54, on, 2448
55, on, 2456
56, on, 2456
57, off, 2424
58, off, 2424
59, off, 2417
60, on, 2456
61, on, 2456
62, on, 2464
63, off, 2425
64, off, 2424
65, off, 2424
66, on, 2456
67, on, 2456
68, on, 2457
69, off, 2424
70, off, 2424
71, off, 2416
72, on, 2449
73, on, 2457
74, on, 2457
75, off, 2433
76, off, 2416
77, off, 2425
78, on, 2448
79, on, 2456
80, on, 2456
81, off, 2432
82, off, 2424
83, off, 2424
84, on, 2464
85, on, 2448
86, on, 2456
87, off, 2424
88, off, 2424
89, off, 2417
90, on, 2448
91, on, 2457
92, on, 2456
93, off, 2424
94, off, 2424
95, off, 2417
96, on, 2456
97, on, 2448
98, on, 2456
99, off, 2432
100, off, 2416
101, off, 2424
102, on, 2449
103, on, 2456
104, on, 2456
105, off, 2424
106, off, 2424
107, off, 2416
108, on, 2456
109, on, 2464
110, on, 2456
111, off, 2424
112, off, 2424
113, off, 2425
114, on, 2456
115, on, 2456
116, on, 2457
117, off, 2424
118, off, 2424
119, off, 2424
120, on, 2448
121, on, 2456
122, on, 2465
123, off, 2424
124, off, 2432
125, off, 2417
126, on, 2448
127, on, 2464
128, on, 2457
129, off, 2424
130, off, 2424
131, off, 2424
132, on, 2456
133, on, 2456
134, on, 2457
135, off, 2424
136, off, 2424
137, off, 2424
138, on, 2456
139, on, 2456
140, on, 2456
141, off, 2424
142, off, 2416
143, off, 2416
144, on, 2456
145, on, 2464
146, on, 2456
147, off, 2425
148, off, 2417
149, off, 2424
150, on, 2456
151, on, 2457
152, on, 2456
153, off, 2417
154, off, 2425
155, off, 2424
156, on, 2448
157, on, 2456
158, on, 2456
159, off, 2424
160, off, 2425
161, off, 2424
162, on, 2456
163, on, 2457
164, on, 2456
165, off, 2425
166, off, 2424
167, off, 2416
168, on, 2457
169, on, 2457
170, on, 2464
171, off, 2432
172, off, 2424
173, off, 2425
174, on, 2448
175, on, 2456
176, on, 2456
177, off, 2424
178, off, 2424
179, off, 2416
180, on, 2456
181, on, 2457
182, on, 2456
183, off, 2424
184, off, 2424
185, off, 2425
186, on, 2449
187, on, 2456
188, on, 2456
189, off, 2433
190, off, 2424
191, off, 2416
192, on, 2456
193, on, 2456
194, on, 2456
195, off, 2432
196, off, 2425
197, off, 2416
198, on, 2448
199, on, 2456
200, on, 2457
201, off, 2424
202, off, 2424
203, off, 2416
204, on, 2449
205, on, 2456
206, on, 2465
207, off, 2424
208, off, 2416
209, off, 2424
210, on, 2457
211, on, 2456
212, on, 2464
213, off, 2432
214, off, 2424
215, off, 2417
216, on, 2448
217, on, 2456
218, on, 2456
219, off, 2432
220, off, 2416
221, off, 2424
222, on, 2456
223, on, 2456
224, on, 2456
225, off, 2425
226, off, 2416
227, off, 2417
228, on, 2457
229, on, 2457
230, on, 2456
231, off, 2424
232, off, 2417
233, off, 2425
234, on, 2449
235, on, 2457
236, on, 2457
237, off, 2425
238, off, 2424
239, off, 2416
240, on, 2456
241, on, 2457
242, on, 2456
243, off, 2416
244, off, 2424
245, off, 2425
246, on, 2457
247, on, 2457
248, on, 2457
249, off, 2424
250, off, 2424
251, off, 2417
252, on, 2448
253, on, 2457
254, on, 2457
255, off, 2424
256, off, 2417
257, off, 2417
258, on, 2456
259, on, 2457
260, on, 2457
261, off, 2425
262, off, 2424
263, off, 2424
264, on, 2456
265, on, 2448
266, on, 2448
267, off, 2432
268, off, 2425
269, off, 2416
270, on, 2448
271, on, 2465
272, on, 2456
273, off, 2416
274, off, 2425
275, off, 2416
276, on, 2456
277, on, 2448
278, on, 2456
279, off, 2424
280, off, 2432
281, off, 2416
282, on, 2449
283, on, 2456
284, on, 2456
285, off, 2424
286, off, 2433
287, off, 2424
288, on, 2449
289, on, 2464
290, on, 2456
291, off, 2424
292, off, 2425
293, off, 2425
294, on, 2449
295, on, 2464
296, on, 2457
297, off, 2432
298, off, 2424
299, off, 2416
300, on, 2448
301, on, 2457
302, on, 2464
303, off, 2424
304, off, 2424
305, off, 2424
306, on, 2456
307, on, 2456
308, on, 2456
309, off, 2424
310, off, 2432
311, off, 2424
312, on, 2449
313, on, 2456
314, on, 2456
315, off, 2416
316, off, 2424
317, off, 2416
318, on, 2449
319, on, 2457
320, on, 2456
321, off, 2424
322, off, 2424
323, off, 2424
324, on, 2456
325, on, 2456
326, on, 2457
327, off, 2425
328, off, 2425
329, off, 2424
330, on, 2448
331, on, 2456
332, on, 2464
333, off, 2433
334, off, 2424
335, off, 2424
336, on, 2449
337, on, 2448
338, on, 2457
339, off, 2416
340, off, 2424
341, off, 2424
342, on, 2456
343, on, 2456
344, on, 2456
345, off, 2416
346, off, 2432
347, off, 2424
348, on, 2448
349, on, 2456
350, on, 2456
351, off, 2425
352, off, 2425
353, off, 2424
354, on, 2456
355, on, 2465
356, on, 2465
357, off, 2425
358, off, 2425
359, off, 2416
360, on, 2456
361, on, 2457
362, on, 2456
363, off, 2425
364, off, 2424
365, off, 2416
366, on, 2456
367, on, 2456
368, on, 2456
369, off, 2425
370, off, 2425
371, off, 2416
372, on, 2448
373, on, 2456
374, on, 2456
375, off, 2425
376, off, 2424
377, off, 2416
378, on, 2457
379, on, 2456
380, on, 2456
381, off, 2424
382, off, 2416
383, off, 2417
384, on, 2456
385, on, 2456
386, on, 2457
387, off, 2424
388, off, 2424
389, off, 2425
390, on, 2456
391, on, 2464
392, on, 2464
393, off, 2425
394, off, 2416
395, off, 2425
396, on, 2448
397, on, 2456
398, on, 2456
399, off, 2424
400, off, 2416
401, off, 2416
402, on, 2456
403, on, 2456
404, on, 2457
405, off, 2424
406, off, 2425
407, off, 2424
408, on, 2448
409, on, 2456
410, on, 2456
411, off, 2424
412, off, 2424
413, off, 2416
414, on, 2456
415, on, 2457
416, on, 2465
417, off, 2425
418, off, 2416
419, off, 2424
420, on, 2456
421, on, 2456
422, on, 2449
423, off, 2425
424, off, 2432
425, off, 2424
426, on, 2457
427, on, 2457
428, on, 2465
429, off, 2424
430, off, 2416
431, off, 2433
432, on, 2456
433, on, 2457
434, on, 2464
435, off, 2424
436, off, 2424
437, off, 2417
438, on, 2456
439, on, 2456
440, on, 2456
441, off, 2432
442, off, 2416
443, off, 2425
444, on, 2456
445, on, 2456
446, on, 2456
447, off, 2424
448, off, 2425
449, off, 2416
450, on, 2456
451, on, 2456
452, on, 2456
453, off, 2432
454, off, 2417
455, off, 2424
456, on, 2448
457, on, 2456
458, on, 2456
459, off, 2424
460, off, 2425
461, off, 2416
462, on, 2456
463, on, 2457
464, on, 2456
465, off, 2432
466, off, 2424
467, off, 2416
468, on, 2456
469, on, 2456
470, on, 2465
471, off, 2424
472, off, 2424
473, off, 2425
474, on, 2456
475, on, 2456
476, on, 2464
477, off, 2424
478, off, 2416
479, off, 2424
480, on, 2448
481, on, 2456
482, on, 2465
483, off, 2425
484, off, 2424
485, off, 2424
486, on, 2456
487, on, 2457
488, on, 2456
489, off, 2424
490, off, 2424
491, off, 2424
492, on, 2456
493, on, 2456
494, on, 2464
495, off, 2424
496, off, 2424
497, off, 2424
498, on, 2449
499, on, 2456
500, on, 2456
501, off, 2424
502, off, 2425
503, off, 2424
504, on, 2449
505, on, 2456
506, on, 2465
507, off, 2425
508, off, 2424
509, off, 2417
510, on, 2449
511, on, 2449
512, on, 2464
513, off, 2433
514, off, 2432
515, off, 2416
516, on, 2456
517, on, 2457
518, on, 2456
519, off, 2416
520, off, 2424
521, off, 2425
522, on, 2448
523, on, 2448
524, on, 2456
525, off, 2424
526, off, 2424
527, off, 2424
528, on, 2456
529, on, 2448
530, on, 2464
531, off, 2432
532, off, 2425
533, off, 2424
534, on, 2456
535, on, 2456
536, on, 2456
537, off, 2424
538, off, 2424
539, off, 2416
540, on, 2448
541, on, 2448
542, on, 2456
543, off, 2425
544, off, 2424
545, off, 2424
546, on, 2448
547, on, 2448
548, on, 2456
549, off, 2425
550, off, 2417
551, off, 2425
552, on, 2449
553, on, 2456
554, on, 2457
555, off, 2433
556, off, 2417
557, off, 2416
558, on, 2456
559, on, 2456
560, on, 2456
561, off, 2425
562, off, 2416
563, off, 2417
564, on, 2449
565, on, 2456
566, on, 2456
567, off, 2416
568, off, 2424
569, off, 2424
570, on, 2456
571, on, 2457
572, on, 2456
573, off, 2424
574, off, 2424
575, off, 2424
576, on, 2456
577, on, 2448
578, on, 2457
579, off, 2417
580, off, 2425
581, off, 2425
582, on, 2448
583, on, 2448
584, on, 2464
585, off, 2424
586, off, 2424
587, off, 2417
588, on, 2448
589, on, 2465
590, on, 2448
591, off, 2424
592, off, 2424
593, off, 2417
594, on, 2456
595, on, 2457
596, on, 2456
597, off, 2424
598, off, 2424
599, off, 2424
