tag, value
0, on, 2464
1, on, 2473
2, on, 2472
3, off, 2424
4, off, 2432
5, off, 2424
6, on, 2448
7, on, 2456
8, on, 2449
9, off, 2425
10, off, 2417
11, off, 2424
12, on, 2448
13, on, 2456
14, on, 2448
15, off, 2416
16, off, 2417
17, off, 2417
18, on, 2448
19, on, 2448
20, on, 2449
21, off, 2424
22, off, 2417
23, off, 2417
24, on, 2448
25, on, 2448
26, on, 2448
27, off, 2425
28, off, 2416
29, off, 2416
30, on, 2448
31, on, 2449
32, on, 2448
33, off, 2417
34, off, 2424
35, off, 2416
36, on, 2448
37, on, 2449
38, on, 2448
39, off, 2425
40, off, 2417
41, off, 2416
42, on, 2448
43, on, 2449
44, on, 2448
45, off, 2425
46, off, 2425
47, off, 2416
48, on, 2448
49, on, 2457
50, on, 2449
51, off, 2432
52, off, 2424
53, off, 2416
54, on, 2448
55, on, 2448
56, on, 2448
57, off, 2425
58, off, 2425
59, off, 2416
60, on, 2448
61, on, 2448
62, on, 2448
63, off, 2416
64, off, 2416
65, off, 2424
66, on, 2448
67, on, 2448
68, on, 2448
69, off, 2416
70, off, 2416
71, off, 2416
72, on, 2448
73, on, 2448
74, on, 2449
75, off, 2424
76, off, 2425
77, off, 2417
78, on, 2449
79, on, 2448
80, on, 2448
81, off, 2425
82, off, 2424
83, off, 2416
84, on, 2448
85, on, 2449
86, on, 2456
87, off, 2424
88, off, 2417
89, off, 2416
90, on, 2448
91, on, 2448
92, on, 2448
93, off, 2424
94, off, 2416
95, off, 2416
96, on, 2448
97, on, 2449
98, on, 2448
99, off, 2417
100, off, 2416
101, off, 2424
102, on, 2448
103, on, 2448
104, on, 2457
105, off, 2425
106, off, 2425
107, off, 2416
108, on, 2448
109, on, 2448
110, on, 2448
111, off, 2424
112, off, 2416
113, off, 2417
114, on, 2448
115, on, 2448
116, on, 2448
117, off, 2425
118, off, 2416
119, off, 2417
120, on, 2448
121, on, 2449
122, on, 2449
123, off, 2425
124, off, 2425
125, off, 2416
126, on, 2448
127, on, 2449
128, on, 2448
129, off, 2425
130, off, 2424
131, off, 2416
132, on, 2448
133, on, 2448
134, on, 2457
135, off, 2425
