tag, value
0, on, 2392
1, on, 2392
2, on, 2393
3, off, 2392
4, off, 2392
5, off, 2392
6, on, 2384
7, on, 2392
8, on, 2392
9, off, 2384
10, off, 2392
11, off, 2393
12, on, 2385
13, on, 2384
14, on, 2392
15, off, 2392
16, off, 2392
17, off, 2392
18, on, 2392
19, on, 2393
20, on, 2384
21, off, 2393
22, off, 2384
23, off, 2392
24, on, 2384
25, on, 2392
26, on, 2393
27, off, 2384
28, off, 2392
29, off, 2385
30, on, 2384
31, on, 2392
32, on, 2384
33, off, 2392
34, off, 2384
35, off, 2384
36, on, 2384
37, on, 2393
38, on, 2384
39, off, 2392
40, off, 2392
41, off, 2392
42, on, 2384
43, on, 2385
44, on, 2384
45, off, 2392
46, off, 2392
47, off, 2392
48, on, 2392
49, on, 2392
50, on, 2384
51, off, 2385
52, off, 2392
53, off, 2384
54, on, 2392
55, on, 2392
56, on, 2384
57, off, 2392
58, off, 2385
59, off, 2385
60, on, 2392
61, on, 2384
62, on, 2392
63, off, 2384
64, off, 2385
65, off, 2384
66, on, 2384
67, on, 2384
68, on, 2393
69, off, 2392
70, off, 2384
71, off, 2384
72, on, 2384
73, on, 2384
74, on, 2392
75, off, 2385
76, off, 2384
77, off, 2384
78, on, 2384
79, on, 2384
80, on, 2392
81, off, 2392
82, off, 2393
83, off, 2385
84, on, 2392
85, on, 2392
86, on, 2384
87, off, 2392
88, off, 2384
89, off, 2385
90, on, 2392
91, on, 2384
92, on, 2384
93, off, 2384
94, off, 2392
95, off, 2392
96, on, 2393
97, on, 2392
98, on, 2392
99, off, 2393
100, off, 2392
101, off, 2393
102, on, 2384
103, on, 2384
104, on, 2392
105, off, 2392
106, off, 2384
107, off, 2392
108, on, 2384
109, on, 2384
110, on, 2392
111, off, 2392
112, off, 2384
113, off, 2384
114, on, 2392
115, on, 2384
116, on, 2392
117, off, 2392
118, off, 2392
119, off, 2392
120, on, 2393
121, on, 2384
122, on, 2392
123, off, 2392
124, off, 2392
125, off, 2393
126, on, 2385
127, on, 2392
128, on, 2393
129, off, 2393
130, off, 2384
131, off, 2392
132, on, 2392
133, on, 2392
134, on, 2384
135, off, 2384
136, off, 2393
137, off, 2385
138, on, 2392
139, on, 2384
140, on, 2384
141, off, 2392
142, off, 2384
143, off, 2392
144, on, 2384
145, on, 2384
146, on, 2384
147, off, 2384
148, off, 2393
149, off, 2392
150, on, 2384
151, on, 2385
152, on, 2384
153, off, 2384
154, off, 2392
155, off, 2385
156, on, 2392
157, on, 2385
158, on, 2384
159, off, 2384
160, off, 2392
161, off, 2392
162, on, 2392
163, on, 2384
164, on, 2385
165, off, 2392
166, off, 2393
167, off, 2384
168, on, 2385
169, on, 2384
170, on, 2392
171, off, 2392
172, off, 2392
173, off, 2393
174, on, 2385
175, on, 2385
176, on, 2384
177, off, 2385
178, off, 2392
179, off, 2392
180, on, 2385
181, on, 2384
182, on, 2393
183, off, 2384
184, off, 2392
185, off, 2384
186, on, 2385
187, on, 2392
188, on, 2392
189, off, 2384
190, off, 2393
191, off, 2392
192, on, 2392
193, on, 2392
194, on, 2384
195, off, 2393
196, off, 2392
197, off, 2392
198, on, 2393
199, on, 2384
200, on, 2384
201, off, 2385
202, off, 2384
203, off, 2384
204, on, 2384
205, on, 2392
206, on, 2393
207, off, 2384
208, off, 2392
209, off, 2393
210, on, 2384
211, on, 2385
212, on, 2384
213, off, 2384
214, off, 2384
215, off, 2384
216, on, 2385
217, on, 2385
218, on, 2385
219, off, 2392
220, off, 2392
221, off, 2392
222, on, 2385
223, on, 2384
224, on, 2392
225, off, 2392
226, off, 2392
227, off, 2392
228, on, 2384
229, on, 2392
230, on, 2392
231, off, 2385
232, off, 2385
233, off, 2385
234, on, 2384
235, on, 2384
236, on, 2385
237, off, 2384
238, off, 2392
239, off, 2392
240, on, 2384
241, on, 2384
242, on, 2384
243, off, 2392
244, off, 2385
245, off, 2392
246, on, 2392
247, on, 2385
248, on, 2384
249, off, 2384
250, off, 2385
251, off, 2393
252, on, 2384
253, on, 2385
254, on, 2384
255, off, 2384
256, off, 2385
257, off, 2392
258, on, 2385
259, on, 2385
260, on, 2384
261, off, 2384
262, off, 2384
263, off, 2392
264, on, 2384
265, on, 2392
266, on, 2384
267, off, 2384
268, off, 2392
269, off, 2392
270, on, 2384
271, on, 2392
272, on, 2384
273, off, 2384
274, off, 2384
275, off, 2392
276, on, 2384
277, on, 2393
278, on, 2384
279, off, 2393
280, off, 2393
281, off, 2384
282, on, 2384
283, on, 2384
284, on, 2392
285, off, 2400
286, off, 2393
287, off, 2392
288, on, 2384
289, on, 2392
290, on, 2392
291, off, 2392
292, off, 2384
293, off, 2392
294, on, 2392
295, on, 2392
296, on, 2384
297, off, 2384
298, off, 2392
299, off, 2393
300, on, 2384
301, on, 2384
302, on, 2384
303, off, 2392
304, off, 2384
305, off, 2392
306, on, 2392
307, on, 2384
308, on, 2393
309, off, 2384
310, off, 2392
311, off, 2392
312, on, 2385
313, on, 2384
314, on, 2384
315, off, 2392
316, off, 2384
317, off, 2384
318, on, 2385
319, on, 2384
320, on, 2392
321, off, 2384
322, off, 2384
323, off, 2384
324, on, 2393
325, on, 2392
326, on, 2384
327, off, 2385
328, off, 2392
329, off, 2392
330, on, 2392
331, on, 2384
332, on, 2384
333, off, 2384
334, off, 2393
335, off, 2385
336, on, 2384
337, on, 2393
338, on, 2392
339, off, 2384
340, off, 2385
341, off, 2392
342, on, 2392
343, on, 2392
344, on, 2393
345, off, 2384
346, off, 2385
347, off, 2392
348, on, 2384
349, on, 2384
350, on, 2384
351, off, 2392
352, off, 2392
353, off, 2385
354, on, 2385
355, on, 2392
356, on, 2384
357, off, 2384
358, off, 2384
359, off, 2384
360, on, 2384
361, on, 2384
362, on, 2384
363, off, 2392
364, off, 2384
365, off, 2392
366, on, 2392
367, on, 2384
368, on, 2392
369, off, 2384
370, off, 2385
371, off, 2392
372, on, 2393
373, on, 2385
374, on, 2384
375, off, 2385
376, off, 2384
377, off, 2384
378, on, 2384
379, on, 2385
380, on, 2384
381, off, 2392
382, off, 2384
383, off, 2392
384, on, 2393
385, on, 2393
386, on, 2384
387, off, 2384
388, off, 2384
389, off, 2384
390, on, 2384
391, on, 2385
392, on, 2385
393, off, 2384
394, off, 2392
395, off, 2392
396, on, 2384
397, on, 2384
398, on, 2384
399, off, 2384
400, off, 2385
401, off, 2392
402, on, 2392
403, on, 2392
404, on, 2392
405, off, 2385
406, off, 2392
407, off, 2393
408, on, 2384
409, on, 2392
410, on, 2384
411, off, 2393
412, off, 2392
413, off, 2385
414, on, 2385
415, on, 2392
416, on, 2384
417, off, 2384
418, off, 2392
419, off, 2392
420, on, 2392
421, on, 2385
422, on, 2384
423, off, 2385
424, off, 2385
425, off, 2385
426, on, 2385
427, on, 2393
428, on, 2384
429, off, 2392
430, off, 2385
431, off, 2392
432, on, 2392
433, on, 2393
434, on, 2384
435, off, 2384
436, off, 2392
437, off, 2392
438, on, 2392
439, on, 2384
440, on, 2384
441, off, 2384
442, off, 2392
443, off, 2384
444, on, 2384
445, on, 2392
446, on, 2384
447, off, 2392
448, off, 2384
449, off, 2393
450, on, 2384
451, on, 2393
452, on, 2385
453, off, 2393
454, off, 2392
455, off, 2384
456, on, 2392
457, on, 2385
458, on, 2392
459, off, 2392
460, off, 2384
461, off, 2384
462, on, 2385
463, on, 2393
464, on, 2384
465, off, 2392
466, off, 2392
467, off, 2384
468, on, 2385
469, on, 2392
470, on, 2392
471, off, 2384
472, off, 2384
473, off, 2384
474, on, 2392
475, on, 2393
476, on, 2384
477, off, 2385
