tag, value
0, on, 3737
1, on, 3744
2, on, 3744
3, off, 3464
4, off, 3392
5, off, 3336
6, on, 3728
7, on, 3728
8, on, 3736
9, off, 3328
10, off, 3272
11, off, 3208
12, on, 3728
13, on, 3728
14, on, 3744
15, off, 3312
16, off, 3265
17, off, 3208
18, on, 3728
19, on, 3729
20, on, 3729
21, off, 3313
22, off, 3264
23, off, 3208
24, on, 3729
25, on, 3736
26, on, 3728
27, off, 3321
28, off, 3264
29, off, 3208
30, on, 3729
31, on, 3728
32, on, 3736
33, off, 3321
34, off, 3257
35, off, 3208
36, on, 3728
37, on, 3728
38, on, 3728
39, off, 3320
40, off, 3256
41, off, 3208
42, on, 3728
43, on, 3728
44, on, 3736
45, off, 3321
46, off, 3256
47, off, 3208
48, on, 3728
49, on, 3736
50, on, 3728
51, off, 3320
52, off, 3256
53, off, 3208
54, on, 3729
55, on, 3728
56, on, 3728
57, off, 3312
58, off, 3257
59, off, 3208
60, on, 3729
61, on, 3736
62, on, 3728
63, off, 3312
64, off, 3264
65, off, 3208
66, on, 3729
67, on, 3736
68, on, 3728
69, off, 3321
70, off, 3257
71, off, 3208
72, on, 3728
73, on, 3728
74, on, 3728
75, off, 3320
76, off, 3265
77, off, 3208
78, on, 3729
79, on, 3728
80, on, 3728
81, off, 3320
82, off, 3256
83, off, 3208
84, on, 3729
85, on, 3728
86, on, 3728
87, off, 3320
88, off, 3256
89, off, 3208
90, on, 3728
91, on, 3728
92, on, 3728
93, off, 3320
94, off, 3257
95, off, 3208
96, on, 3728
97, on, 3728
98, on, 3728
99, off, 3321
100, off, 3257
101, off, 3208
102, on, 3728
103, on, 3728
104, on, 3736
105, off, 3312
106, off, 3256
107, off, 3209
108, on, 3729
109, on, 3728
110, on, 3728
111, off, 3320
112, off, 3256
113, off, 3209
114, on, 3728
115, on, 3728
116, on, 3729
117, off, 3320
118, off, 3264
119, off, 3209
120, on, 3736
121, on, 3729
122, on, 3729
123, off, 3320
124, off, 3256
125, off, 3208
126, on, 3728
127, on, 3729
128, on, 3728
129, off, 3320
130, off, 3264
131, off, 3208
132, on, 3728
133, on, 3728
134, on, 3729
135, off, 3320
136, off, 3257
137, off, 3208
138, on, 3728
139, on, 3744
140, on, 3737
141, off, 3320
142, off, 3257
143, off, 3208
144, on, 3728
145, on, 3728
146, on, 3736
147, off, 3320
148, off, 3256
149, off, 3208
150, on, 3728
151, on, 3729
152, on, 3737
153, off, 3320
154, off, 3264
155, off, 3208
156, on, 3729
157, on, 3728
158, on, 3736
159, off, 3320
160, off, 3256
161, off, 3208
162, on, 3729
163, on, 3729
164, on, 3729
165, off, 3321
166, off, 3257
167, off, 3208
168, on, 3728
169, on, 3728
170, on, 3729
171, off, 3320
172, off, 3264
173, off, 3208
174, on, 3728
175, on, 3728
176, on, 3728
177, off, 3320
178, off, 3257
179, off, 3209
180, on, 3728
181, on, 3728
182, on, 3728
183, off, 3320
184, off, 3256
185, off, 3208
186, on, 3728
187, on, 3728
188, on, 3728
189, off, 3320
190, off, 3256
191, off, 3208
192, on, 3728
193, on, 3728
194, on, 3729
195, off, 3312
196, off, 3256
197, off, 3208
198, on, 3728
199, on, 3728
200, on, 3736
201, off, 3321
202, off, 3256
203, off, 3208
204, on, 3728
205, on, 3728
206, on, 3736
207, off, 3321
208, off, 3256
209, off, 3208
210, on, 3728
211, on, 3729
212, on, 3729
213, off, 3320
214, off, 3257
215, off, 3208
216, on, 3728
217, on, 3729
218, on, 3736
219, off, 3320
220, off, 3256
221, off, 3208
222, on, 3728
223, on, 3728
224, on, 3728
225, off, 3320
226, off, 3265
227, off, 3208
228, on, 3728
229, on, 3728
230, on, 3729
231, off, 3321
232, off, 3256
233, off, 3208
234, on, 3729
235, on, 3728
236, on, 3737
237, off, 3320
238, off, 3264
239, off, 3208
240, on, 3728
241, on, 3728
242, on, 3728
243, off, 3320
244, off, 3257
245, off, 3208
246, on, 3728
247, on, 3736
248, on, 3729
249, off, 3320
250, off, 3257
251, off, 3208
252, on, 3736
253, on, 3736
254, on, 3729
255, off, 3320
256, off, 3264
257, off, 3208
258, on, 3728
259, on, 3729
260, on, 3744
261, off, 3320
262, off, 3256
263, off, 3208
264, on, 3729
265, on, 3744
266, on, 3728
267, off, 3321
268, off, 3256
269, off, 3208
270, on, 3728
271, on, 3728
272, on, 3728
273, off, 3321
274, off, 3264
275, off, 3209
276, on, 3728
277, on, 3729
278, on, 3728
279, off, 3320
280, off, 3256
281, off, 3208
282, on, 3728
283, on, 3728
284, on, 3728
285, off, 3320
286, off, 3256
287, off, 3208
288, on, 3728
289, on, 3728
290, on, 3728
291, off, 3320
292, off, 3256
293, off, 3208
294, on, 3728
295, on, 3728
296, on, 3729
297, off, 3321
298, off, 3256
299, off, 3208
300, on, 3729
301, on, 3728
302, on, 3729
303, off, 3320
304, off, 3264
305, off, 3209
306, on, 3728
307, on, 3736
308, on, 3729
309, off, 3320
310, off, 3256
311, off, 3208
312, on, 3728
313, on, 3728
314, on, 3736
315, off, 3320
316, off, 3264
317, off, 3209
318, on, 3728
319, on, 3736
320, on, 3736
321, off, 3320
322, off, 3256
323, off, 3209
324, on, 3729
325, on, 3729
326, on, 3729
327, off, 3320
328, off, 3256
329, off, 3208
330, on, 3728
331, on, 3729
332, on, 3728
333, off, 3320
334, off, 3257
335, off, 3209
336, on, 3729
337, on, 3728
338, on, 3729
339, off, 3321
340, off, 3257
341, off, 3208
342, on, 3729
343, on, 3728
344, on, 3728
345, off, 3320
346, off, 3256
347, off, 3208
348, on, 3728
349, on, 3729
350, on, 3728
351, off, 3320
352, off, 3257
353, off, 3208
354, on, 3728
355, on, 3729
356, on, 3728
357, off, 3312
358, off, 3256
359, off, 3208
360, on, 3729
361, on, 3728
362, on, 3729
363, off, 3320
364, off, 3256
365, off, 3208
366, on, 3728
367, on, 3729
368, on, 3728
369, off, 3320
370, off, 3257
371, off, 3209
372, on, 3728
373, on, 3728
374, on, 3729
375, off, 3320
376, off, 3256
377, off, 3208
378, on, 3728
379, on, 3728
380, on, 3728
381, off, 3320
382, off, 3264
383, off, 3208
384, on, 3728
385, on, 3728
386, on, 3729
387, off, 3320
388, off, 3256
389, off, 3208
390, on, 3728
391, on, 3728
392, on, 3736
393, off, 3320
394, off, 3257
395, off, 3208
396, on, 3728
397, on, 3728
398, on, 3728
399, off, 3321
400, off, 3256
401, off, 3208
402, on, 3728
403, on, 3728
404, on, 3728
405, off, 3312
406, off, 3264
407, off, 3209
408, on, 3729
409, on, 3728
410, on, 3728
411, off, 3320
412, off, 3256
413, off, 3208
414, on, 3728
415, on, 3729
416, on, 3728
417, off, 3320
418, off, 3265
419, off, 3208
420, on, 3728
421, on, 3728
422, on, 3728
423, off, 3320
424, off, 3256
425, off, 3216
426, on, 3729
427, on, 3736
428, on, 3736
429, off, 3320
430, off, 3256
431, off, 3209
432, on, 3728
433, on, 3728
434, on, 3736
435, off, 3320
436, off, 3256
437, off, 3208
438, on, 3728
439, on, 3728
440, on, 3736
441, off, 3320
442, off, 3256
443, off, 3208
444, on, 3728
445, on, 3728
446, on, 3728
447, off, 3320
448, off, 3256
449, off, 3209
450, on, 3728
451, on, 3728
452, on, 3728
453, off, 3320
454, off, 3257
455, off, 3209
456, on, 3728
457, on, 3728
458, on, 3737
459, off, 3312
460, off, 3256
461, off, 3208
462, on, 3728
463, on, 3728
464, on, 3728
465, off, 3320
466, off, 3256
467, off, 3208
468, on, 3728
469, on, 3728
470, on, 3736
471, off, 3320
472, off, 3256
473, off, 3209
474, on, 3728
475, on, 3728
476, on, 3729
477, off, 3320
478, off, 3256
479, off, 3209
480, on, 3728
481, on, 3729
482, on, 3728
483, off, 3320
484, off, 3256
485, off, 3208
486, on, 3736
487, on, 3736
488, on, 3744
489, off, 3313
490, off, 3256
491, off, 3209
492, on, 3728
493, on, 3728
494, on, 3728
495, off, 3320
496, off, 3256
497, off, 3209
498, on, 3728
499, on, 3729
500, on, 3736
501, off, 3320
502, off, 3256
503, off, 3208
504, on, 3728
505, on, 3728
506, on, 3736
507, off, 3320
508, off, 3256
509, off, 3208
510, on, 3728
511, on, 3728
512, on, 3728
513, off, 3320
514, off, 3256
515, off, 3208
516, on, 3729
517, on, 3729
518, on, 3736
519, off, 3320
520, off, 3256
521, off, 3208
522, on, 3728
523, on, 3728
524, on, 3728
525, off, 3312
526, off, 3264
527, off, 3208
528, on, 3729
