tag, value
0, on, 2384
1, on, 2385
2, on, 2393
3, off, 2400
4, off, 2392
5, off, 2393
6, on, 2400
7, on, 2393
8, on, 2401
9, off, 2401
10, off, 2401
11, off, 2400
12, on, 2400
13, on, 2400
14, on, 2393
15, off, 2400
16, off, 2400
17, off, 2400
18, on, 2393
19, on, 2400
20, on, 2400
21, off, 2400
22, off, 2400
23, off, 2400
24, on, 2400
25, on, 2400
26, on, 2392
27, off, 2400
28, off, 2400
29, off, 2400
30, on, 2400
31, on, 2385
32, on, 2392
33, off, 2400
34, off, 2393
35, off, 2392
36, on, 2392
37, on, 2392
38, on, 2392
39, off, 2400
40, off, 2393
41, off, 2392
42, on, 2392
43, on, 2392
44, on, 2392
45, off, 2400
46, off, 2400
47, off, 2392
48, on, 2400
49, on, 2385
50, on, 2384
51, off, 2400
52, off, 2401
53, off, 2400
54, on, 2384
55, on, 2384
56, on, 2384
57, off, 2400
58, off, 2384
59, off, 2393
60, on, 2392
61, on, 2392
62, on, 2392
63, off, 2400
64, off, 2400
65, off, 2400
66, on, 2400
67, on, 2384
68, on, 2385
69, off, 2401
70, off, 2400
71, off, 2392
72, on, 2400
73, on, 2400
74, on, 2392
75, off, 2400
76, off, 2400
77, off, 2401
78, on, 2400
79, on, 2401
80, on, 2400
81, off, 2392
82, off, 2392
83, off, 2400
84, on, 2401
85, on, 2400
86, on, 2393
87, off, 2400
88, off, 2392
89, off, 2392
90, on, 2401
91, on, 2400
92, on, 2392
93, off, 2393
94, off, 2392
95, off, 2400
96, on, 2401
97, on, 2392
98, on, 2384
99, off, 2392
100, off, 2385
101, off, 2400
102, on, 2400
103, on, 2392
104, on, 2392
105, off, 2400
106, off, 2401
107, off, 2385
108, on, 2400
109, on, 2401
110, on, 2400
111, off, 2400
112, off, 2400
113, off, 2400
114, on, 2401
115, on, 2392
116, on, 2384
117, off, 2401
118, off, 2401
119, off, 2392
120, on, 2385
121, on, 2400
122, on, 2400
123, off, 2401
124, off, 2393
125, off, 2400
126, on, 2392
127, on, 2393
128, on, 2401
129, off, 2401
130, off, 2400
131, off, 2401
132, on, 2400
133, on, 2392
134, on, 2392
135, off, 2400
136, off, 2400
137, off, 2400
138, on, 2401
139, on, 2400
140, on, 2384
141, off, 2400
142, off, 2384
143, off, 2385
144, on, 2400
145, on, 2384
146, on, 2384
147, off, 2400
148, off, 2400
149, off, 2393
150, on, 2400
151, on, 2400
152, on, 2385
153, off, 2401
154, off, 2400
155, off, 2400
156, on, 2400
157, on, 2401
158, on, 2400
159, off, 2392
160, off, 2393
161, off, 2400
162, on, 2392
163, on, 2401
164, on, 2400
165, off, 2400
166, off, 2400
167, off, 2393
168, on, 2400
169, on, 2401
170, on, 2400
171, off, 2400
172, off, 2400
173, off, 2400
174, on, 2400
175, on, 2400
176, on, 2401
177, off, 2392
178, off, 2401
179, off, 2400
180, on, 2392
181, on, 2384
182, on, 2384
183, off, 2401
184, off, 2400
185, off, 2401
186, on, 2393
187, on, 2393
188, on, 2400
189, off, 2400
190, off, 2400
191, off, 2400
192, on, 2401
193, on, 2392
194, on, 2401
195, off, 2400
196, off, 2400
197, off, 2400
198, on, 2392
199, on, 2385
200, on, 2384
201, off, 2401
202, off, 2400
203, off, 2384
204, on, 2400
205, on, 2400
206, on, 2400
207, off, 2385
208, off, 2400
209, off, 2401
210, on, 2385
211, on, 2384
212, on, 2392
213, off, 2400
214, off, 2385
215, off, 2393
216, on, 2401
217, on, 2400
218, on, 2401
219, off, 2384
220, off, 2392
221, off, 2401
222, on, 2400
223, on, 2385
224, on, 2385
225, off, 2401
226, off, 2400
227, off, 2392
228, on, 2400
229, on, 2392
230, on, 2392
231, off, 2401
232, off, 2384
233, off, 2393
234, on, 2400
235, on, 2393
236, on, 2400
237, off, 2400
238, off, 2400
239, off, 2400
240, on, 2392
241, on, 2401
242, on, 2401
243, off, 2400
244, off, 2400
245, off, 2384
246, on, 2384
247, on, 2400
248, on, 2400
249, off, 2400
250, off, 2400
251, off, 2400
252, on, 2400
253, on, 2400
254, on, 2400
255, off, 2400
256, off, 2401
257, off, 2400
258, on, 2401
259, on, 2401
260, on, 2400
261, off, 2400
262, off, 2401
263, off, 2392
264, on, 2400
265, on, 2392
266, on, 2400
267, off, 2401
268, off, 2400
269, off, 2400
270, on, 2400
271, on, 2400
272, on, 2400
273, off, 2393
274, off, 2400
275, off, 2392
276, on, 2400
277, on, 2384
278, on, 2401
279, off, 2392
280, off, 2400
281, off, 2400
282, on, 2400
283, on, 2393
284, on, 2392
285, off, 2401
286, off, 2400
287, off, 2385
288, on, 2393
289, on, 2400
290, on, 2384
291, off, 2401
292, off, 2400
293, off, 2393
294, on, 2400
295, on, 2392
296, on, 2400
297, off, 2392
298, off, 2400
299, off, 2400
300, on, 2401
301, on, 2400
302, on, 2400
303, off, 2401
304, off, 2400
305, off, 2392
306, on, 2392
307, on, 2385
308, on, 2392
309, off, 2401
310, off, 2392
311, off, 2401
312, on, 2393
313, on, 2392
314, on, 2401
315, off, 2400
316, off, 2401
317, off, 2400
318, on, 2392
319, on, 2400
320, on, 2393
321, off, 2400
322, off, 2401
323, off, 2400
324, on, 2392
325, on, 2392
326, on, 2400
327, off, 2400
328, off, 2400
329, off, 2400
330, on, 2400
331, on, 2401
332, on, 2400
333, off, 2400
334, off, 2400
335, off, 2401
336, on, 2392
337, on, 2392
338, on, 2384
339, off, 2401
340, off, 2401
341, off, 2392
342, on, 2400
343, on, 2392
344, on, 2400
345, off, 2400
346, off, 2393
347, off, 2392
348, on, 2400
349, on, 2400
350, on, 2392
351, off, 2392
352, off, 2393
353, off, 2400
354, on, 2401
355, on, 2400
356, on, 2400
357, off, 2400
358, off, 2392
359, off, 2385
360, on, 2393
361, on, 2392
362, on, 2385
363, off, 2401
364, off, 2384
365, off, 2384
366, on, 2401
367, on, 2400
368, on, 2392
369, off, 2400
370, off, 2400
371, off, 2400
372, on, 2384
373, on, 2400
374, on, 2400
375, off, 2400
376, off, 2400
377, off, 2400
378, on, 2393
379, on, 2385
380, on, 2392
381, off, 2400
382, off, 2392
383, off, 2392
384, on, 2392
385, on, 2384
386, on, 2384
387, off, 2400
388, off, 2392
389, off, 2392
390, on, 2400
391, on, 2400
392, on, 2400
393, off, 2400
394, off, 2400
395, off, 2392
396, on, 2400
397, on, 2401
398, on, 2400
399, off, 2393
400, off, 2400
401, off, 2400
402, on, 2392
403, on, 2392
404, on, 2392
405, off, 2400
406, off, 2400
407, off, 2400
408, on, 2400
409, on, 2384
410, on, 2384
411, off, 2400
412, off, 2385
413, off, 2384
414, on, 2385
415, on, 2392
416, on, 2384
417, off, 2393
418, off, 2401
