tag, value
0, on, 2384
1, on, 2400
2, on, 2400
3, off, 2400
4, off, 2400
5, off, 2400
6, on, 2392
7, on, 2392
8, on, 2392
9, off, 2392
10, off, 2400
11, off, 2401
12, on, 2400
13, on, 2400
14, on, 2393
15, off, 2401
16, off, 2400
17, off, 2401
18, on, 2400
19, on, 2392
20, on, 2393
21, off, 2400
22, off, 2400
23, off, 2400
24, on, 2400
25, on, 2392
26, on, 2401
27, off, 2400
28, off, 2400
29, off, 2400
30, on, 2400
31, on, 2400
32, on, 2392
33, off, 2400
34, off, 2400
35, off, 2400
36, on, 2400
37, on, 2392
38, on, 2400
39, off, 2400
40, off, 2400
41, off, 2400
42, on, 2393
43, on, 2384
44, on, 2392
45, off, 2401
46, off, 2400
47, off, 2400
48, on, 2400
49, on, 2400
50, on, 2401
51, off, 2400
52, off, 2401
53, off, 2400
54, on, 2400
55, on, 2401
56, on, 2393
57, off, 2400
58, off, 2400
59, off, 2400
60, on, 2400
61, on, 2393
62, on, 2400
63, off, 2400
64, off, 2400
65, off, 2400
66, on, 2384
67, on, 2385
68, on, 2392
69, off, 2400
70, off, 2392
71, off, 2401
72, on, 2392
73, on, 2400
74, on, 2392
75, off, 2400
76, off, 2400
77, off, 2400
78, on, 2400
79, on, 2392
80, on, 2385
81, off, 2401
82, off, 2400
83, off, 2393
84, on, 2401
85, on, 2392
86, on, 2384
87, off, 2392
88, off, 2393
89, off, 2400
90, on, 2392
91, on, 2392
92, on, 2392
93, off, 2400
94, off, 2400
95, off, 2392
96, on, 2392
97, on, 2401
98, on, 2393
99, off, 2401
100, off, 2400
101, off, 2392
102, on, 2392
103, on, 2384
104, on, 2392
105, off, 2401
106, off, 2401
107, off, 2400
108, on, 2400
109, on, 2400
110, on, 2393
111, off, 2401
112, off, 2400
113, off, 2400
114, on, 2400
115, on, 2400
116, on, 2400
117, off, 2392
118, off, 2400
119, off, 2392
120, on, 2400
121, on, 2400
122, on, 2401
123, off, 2392
124, off, 2392
125, off, 2400
126, on, 2392
127, on, 2393
128, on, 2393
129, off, 2400
130, off, 2393
131, off, 2401
132, on, 2393
133, on, 2401
134, on, 2393
135, off, 2400
136, off, 2400
137, off, 2401
138, on, 2400
139, on, 2392
140, on, 2384
141, off, 2400
142, off, 2400
143, off, 2401
144, on, 2400
145, on, 2400
146, on, 2400
147, off, 2400
148, off, 2400
149, off, 2400
150, on, 2401
151, on, 2392
152, on, 2385
153, off, 2400
154, off, 2392
155, off, 2400
156, on, 2392
157, on, 2400
158, on, 2392
159, off, 2400
160, off, 2392
161, off, 2392
162, on, 2401
163, on, 2392
164, on, 2384
165, off, 2401
166, off, 2400
167, off, 2393
168, on, 2400
169, on, 2400
170, on, 2401
171, off, 2400
172, off, 2401
173, off, 2400
174, on, 2392
175, on, 2400
176, on, 2401
177, off, 2400
178, off, 2400
179, off, 2401
180, on, 2400
181, on, 2400
182, on, 2392
183, off, 2400
184, off, 2400
185, off, 2393
186, on, 2400
187, on, 2400
188, on, 2400
189, off, 2400
190, off, 2392
191, off, 2392
192, on, 2400
193, on, 2400
194, on, 2400
195, off, 2401
196, off, 2400
197, off, 2393
198, on, 2400
199, on, 2400
200, on, 2400
201, off, 2400
202, off, 2400
203, off, 2392
204, on, 2400
205, on, 2400
206, on, 2400
207, off, 2393
208, off, 2400
209, off, 2400
210, on, 2401
211, on, 2400
212, on, 2400
213, off, 2401
214, off, 2392
215, off, 2393
216, on, 2392
217, on, 2392
218, on, 2400
219, off, 2400
220, off, 2400
221, off, 2400
222, on, 2400
223, on, 2400
224, on, 2392
225, off, 2400
226, off, 2392
227, off, 2400
228, on, 2401
229, on, 2400
230, on, 2393
231, off, 2400
232, off, 2400
233, off, 2384
234, on, 2400
235, on, 2401
236, on, 2401
237, off, 2392
238, off, 2400
239, off, 2400
240, on, 2393
241, on, 2401
242, on, 2400
243, off, 2392
244, off, 2400
245, off, 2400
246, on, 2400
247, on, 2400
248, on, 2400
249, off, 2400
250, off, 2393
251, off, 2400
252, on, 2401
253, on, 2392
254, on, 2384
255, off, 2400
256, off, 2393
257, off, 2400
258, on, 2400
259, on, 2400
260, on, 2400
261, off, 2400
262, off, 2400
263, off, 2400
264, on, 2400
265, on, 2400
266, on, 2400
267, off, 2392
268, off, 2392
269, off, 2400
270, on, 2392
271, on, 2400
272, on, 2400
273, off, 2400
274, off, 2400
275, off, 2400
276, on, 2393
277, on, 2392
278, on, 2400
279, off, 2401
280, off, 2401
281, off, 2401
282, on, 2400
283, on, 2401
284, on, 2400
285, off, 2400
286, off, 2400
287, off, 2400
288, on, 2400
289, on, 2400
290, on, 2400
291, off, 2401
292, off, 2400
293, off, 2400
294, on, 2400
295, on, 2400
296, on, 2400
297, off, 2400
298, off, 2400
299, off, 2400
300, on, 2400
301, on, 2400
302, on, 2400
303, off, 2400
304, off, 2400
305, off, 2400
306, on, 2400
307, on, 2400
308, on, 2400
309, off, 2400
310, off, 2400
311, off, 2400
312, on, 2400
313, on, 2393
314, on, 2401
315, off, 2400
316, off, 2401
317, off, 2401
318, on, 2400
319, on, 2400
320, on, 2392
321, off, 2400
322, off, 2400
323, off, 2400
324, on, 2400
325, on, 2400
326, on, 2384
327, off, 2401
328, off, 2400
329, off, 2393
330, on, 2401
331, on, 2400
332, on, 2400
333, off, 2401
334, off, 2400
335, off, 2400
336, on, 2393
337, on, 2393
338, on, 2400
339, off, 2401
340, off, 2400
341, off, 2400
342, on, 2400
343, on, 2400
344, on, 2400
345, off, 2400
346, off, 2401
347, off, 2400
348, on, 2400
349, on, 2401
350, on, 2384
351, off, 2400
352, off, 2400
353, off, 2400
354, on, 2392
355, on, 2400
356, on, 2400
357, off, 2392
358, off, 2400
359, off, 2400
360, on, 2400
361, on, 2400
362, on, 2400
363, off, 2400
364, off, 2400
365, off, 2400
366, on, 2400
367, on, 2400
368, on, 2400
369, off, 2392
370, off, 2400
371, off, 2401
372, on, 2400
373, on, 2400
374, on, 2400
375, off, 2392
376, off, 2393
377, off, 2400
378, on, 2392
379, on, 2400
380, on, 2401
381, off, 2400
382, off, 2400
383, off, 2400
384, on, 2400
385, on, 2400
386, on, 2400
387, off, 2401
388, off, 2400
389, off, 2400
390, on, 2400
391, on, 2401
392, on, 2400
393, off, 2400
394, off, 2400
395, off, 2400
396, on, 2392
397, on, 2392
398, on, 2400
399, off, 2400
400, off, 2401
401, off, 2392
402, on, 2400
403, on, 2393
404, on, 2400
405, off, 2400
406, off, 2400
407, off, 2400
408, on, 2401
409, on, 2384
410, on, 2385
411, off, 2400
412, off, 2400
413, off, 2385
414, on, 2400
415, on, 2400
416, on, 2400
417, off, 2400
418, off, 2400
419, off, 2401
420, on, 2393
421, on, 2392
422, on, 2400
423, off, 2400
424, off, 2400
425, off, 2400
426, on, 2400
427, on, 2400
428, on, 2392
429, off, 2400
430, off, 2400
431, off, 2400
432, on, 2393
433, on, 2384
434, on, 2384
435, off, 2400
436, off, 2400
437, off, 2400
438, on, 2400
439, on, 2401
440, on, 2400
441, off, 2400
442, off, 2400
443, off, 2400
444, on, 2401
445, on, 2400
446, on, 2400
447, off, 2392
448, off, 2400
449, off, 2400
450, on, 2392
451, on, 2392
452, on, 2392
453, off, 2401
454, off, 2400
455, off, 2392
456, on, 2401
457, on, 2392
458, on, 2385
459, off, 2400
460, off, 2400
461, off, 2392
462, on, 2400
463, on, 2401
464, on, 2392
465, off, 2400
466, off, 2400
467, off, 2400
468, on, 2400
469, on, 2400
470, on, 2400
471, off, 2400
472, off, 2400
473, off, 2400
474, on, 2392
475, on, 2400
476, on, 2400
477, off, 2400
478, off, 2401
479, off, 2393
480, on, 2400
481, on, 2400
482, on, 2400
483, off, 2400
484, off, 2400
485, off, 2400
486, on, 2392
487, on, 2392
488, on, 2385
489, off, 2400
490, off, 2400
491, off, 2401
492, on, 2401
493, on, 2400
494, on, 2392
495, off, 2401
496, off, 2392
497, off, 2400
498, on, 2400
499, on, 2400
500, on, 2400
501, off, 2400
502, off, 2401
503, off, 2400
504, on, 2400
505, on, 2401
506, on, 2400
507, off, 2400
508, off, 2401
509, off, 2401
510, on, 2400
511, on, 2400
512, on, 2392
513, off, 2400
514, off, 2392
515, off, 2400
516, on, 2400
517, on, 2401
518, on, 2401
519, off, 2400
520, off, 2400
521, off, 2400
522, on, 2400
523, on, 2400
524, on, 2400
525, off, 2400
526, off, 2400
527, off, 2400
528, on, 2392
529, on, 2401
530, on, 2392
531, off, 2400
532, off, 2392
533, off, 2384
534, on, 2384
535, on, 2392
536, on, 2401
537, off, 2400
538, off, 2392
539, off, 2400
540, on, 2392
541, on, 2392
542, on, 2400
543, off, 2400
544, off, 2393
545, off, 2400
546, on, 2400
547, on, 2400
548, on, 2392
549, off, 2393
550, off, 2400
551, off, 2392
552, on, 2401
553, on, 2392
554, on, 2392
555, off, 2400
556, off, 2400
557, off, 2393
558, on, 2384
559, on, 2384
560, on, 2400
561, off, 2400
562, off, 2400
563, off, 2401
564, on, 2400
565, on, 2400
566, on, 2400
567, off, 2400
568, off, 2400
569, off, 2400
570, on, 2400
571, on, 2400
572, on, 2393
573, off, 2400
574, off, 2400
575, off, 2384
576, on, 2401
577, on, 2392
578, on, 2401
579, off, 2400
580, off, 2400
581, off, 2400
582, on, 2400
583, on, 2392
584, on, 2400
585, off, 2400
586, off, 2400
587, off, 2400
588, on, 2393
589, on, 2401
590, on, 2401
591, off, 2401
592, off, 2400
593, off, 2400
594, on, 2392
595, on, 2400
596, on, 2401
597, off, 2400
598, off, 2400
599, off, 2393
