tag, value
0, on, 2393
1, on, 2384
2, on, 2393
3, off, 2392
4, off, 2392
5, off, 2392
6, on, 2392
7, on, 2385
8, on, 2385
9, off, 2392
10, off, 2392
11, off, 2384
12, on, 2384
13, on, 2393
14, on, 2384
15, off, 2392
16, off, 2393
17, off, 2392
18, on, 2392
19, on, 2393
20, on, 2392
21, off, 2392
22, off, 2392
23, off, 2392
24, on, 2384
25, on, 2393
26, on, 2392
27, off, 2384
28, off, 2392
29, off, 2392
30, on, 2385
31, on, 2384
32, on, 2392
33, off, 2392
34, off, 2392
35, off, 2392
36, on, 2392
37, on, 2393
38, on, 2393
39, off, 2393
40, off, 2392
41, off, 2392
42, on, 2393
43, on, 2392
44, on, 2392
45, off, 2384
46, off, 2392
47, off, 2392
48, on, 2392
49, on, 2392
50, on, 2393
51, off, 2384
52, off, 2392
53, off, 2392
54, on, 2385
55, on, 2384
56, on, 2384
57, off, 2392
58, off, 2392
59, off, 2393
60, on, 2392
61, on, 2392
62, on, 2392
63, off, 2392
64, off, 2392
65, off, 2392
66, on, 2384
67, on, 2392
68, on, 2385
69, off, 2393
70, off, 2393
71, off, 2392
72, on, 2392
73, on, 2392
74, on, 2384
75, off, 2392
76, off, 2392
77, off, 2385
78, on, 2384
79, on, 2393
80, on, 2392
81, off, 2392
82, off, 2392
83, off, 2392
84, on, 2392
85, on, 2392
86, on, 2392
87, off, 2392
88, off, 2393
89, off, 2392
90, on, 2385
91, on, 2392
92, on, 2393
93, off, 2385
94, off, 2400
95, off, 2385
96, on, 2392
97, on, 2392
98, on, 2384
99, off, 2393
100, off, 2393
101, off, 2393
102, on, 2392
103, on, 2392
104, on, 2384
105, off, 2392
106, off, 2392
107, off, 2392
108, on, 2392
109, on, 2393
110, on, 2392
111, off, 2392
112, off, 2384
113, off, 2392
114, on, 2392
115, on, 2392
116, on, 2392
117, off, 2392
118, off, 2393
119, off, 2392
120, on, 2392
121, on, 2385
122, on, 2393
123, off, 2392
124, off, 2384
125, off, 2392
126, on, 2393
127, on, 2392
128, on, 2392
129, off, 2392
130, off, 2392
131, off, 2384
132, on, 2393
133, on, 2392
134, on, 2392
135, off, 2392
136, off, 2392
137, off, 2392
138, on, 2385
139, on, 2384
140, on, 2392
141, off, 2392
