tag, value
0, on, 2393
1, on, 2385
2, on, 2384
3, off, 2384
4, off, 2384
5, off, 2392
6, on, 2384
7, on, 2385
8, on, 2392
9, off, 2384
10, off, 2384
11, off, 2384
12, on, 2385
13, on, 2392
14, on, 2384
15, off, 2385
16, off, 2384
17, off, 2392
18, on, 2384
19, on, 2384
20, on, 2384
21, off, 2392
22, off, 2384
23, off, 2384
24, on, 2385
25, on, 2384
26, on, 2392
27, off, 2385
28, off, 2384
29, off, 2392
30, on, 2384
31, on, 2384
32, on, 2384
33, off, 2384
34, off, 2392
35, off, 2392
36, on, 2384
37, on, 2384
38, on, 2385
39, off, 2384
40, off, 2384
41, off, 2385
42, on, 2393
43, on, 2384
44, on, 2384
45, off, 2384
46, off, 2385
47, off, 2384
48, on, 2385
49, on, 2385
50, on, 2385
51, off, 2384
52, off, 2384
53, off, 2384
54, on, 2384
55, on, 2384
56, on, 2385
57, off, 2385
58, off, 2384
59, off, 2392
60, on, 2385
61, on, 2384
62, on, 2384
63, off, 2384
64, off, 2384
65, off, 2385
66, on, 2385
67, on, 2384
68, on, 2384
69, off, 2384
70, off, 2384
71, off, 2393
72, on, 2384
73, on, 2385
74, on, 2384
75, off, 2385
76, off, 2385
77, off, 2385
78, on, 2385
79, on, 2384
80, on, 2384
81, off, 2392
82, off, 2392
83, off, 2384
84, on, 2392
85, on, 2384
86, on, 2384
87, off, 2384
88, off, 2384
89, off, 2392
90, on, 2385
91, on, 2393
92, on, 2384
93, off, 2384
94, off, 2384
95, off, 2385
96, on, 2384
97, on, 2384
98, on, 2384
99, off, 2384
100, off, 2384
101, off, 2385
102, on, 2384
103, on, 2385
104, on, 2392
105, off, 2384
106, off, 2384
107, off, 2392
108, on, 2384
109, on, 2384
110, on, 2384
111, off, 2384
112, off, 2384
113, off, 2392
114, on, 2385
115, on, 2384
116, on, 2384
117, off, 2384
118, off, 2384
119, off, 2392
120, on, 2384
121, on, 2385
122, on, 2384
123, off, 2384
124, off, 2384
125, off, 2393
126, on, 2393
127, on, 2384
128, on, 2385
129, off, 2385
130, off, 2384
131, off, 2392
132, on, 2384
133, on, 2384
134, on, 2384
135, off, 2384
136, off, 2384
137, off, 2385
138, on, 2384
139, on, 2384
140, on, 2385
141, off, 2392
142, off, 2385
143, off, 2385
144, on, 2385
145, on, 2384
146, on, 2384
147, off, 2392
148, off, 2384
149, off, 2384
150, on, 2384
151, on, 2385
152, on, 2384
153, off, 2384
154, off, 2384
155, off, 2385
156, on, 2384
157, on, 2384
158, on, 2384
159, off, 2384
160, off, 2384
161, off, 2385
162, on, 2385
163, on, 2384
164, on, 2385
165, off, 2384
166, off, 2384
167, off, 2385
168, on, 2384
169, on, 2385
170, on, 2384
171, off, 2384
172, off, 2385
173, off, 2385
174, on, 2384
175, on, 2384
176, on, 2384
177, off, 2384
178, off, 2392
179, off, 2384
180, on, 2392
181, on, 2384
182, on, 2385
183, off, 2393
184, off, 2384
185, off, 2384
186, on, 2384
187, on, 2384
188, on, 2385
189, off, 2385
190, off, 2384
191, off, 2385
192, on, 2385
193, on, 2384
194, on, 2384
195, off, 2384
196, off, 2384
197, off, 2384
198, on, 2384
199, on, 2384
200, on, 2385
201, off, 2384
202, off, 2384
203, off, 2384
204, on, 2384
205, on, 2384
206, on, 2384
207, off, 2392
208, off, 2392
209, off, 2392
210, on, 2384
211, on, 2393
212, on, 2384
213, off, 2385
214, off, 2384
215, off, 2384
216, on, 2384
217, on, 2384
218, on, 2384
219, off, 2384
220, off, 2384
221, off, 2384
222, on, 2384
223, on, 2384
224, on, 2384
225, off, 2384
226, off, 2384
227, off, 2384
228, on, 2392
229, on, 2392
230, on, 2384
231, off, 2385
232, off, 2384
233, off, 2392
234, on, 2384
235, on, 2385
236, on, 2384
237, off, 2385
238, off, 2384
239, off, 2385
240, on, 2384
241, on, 2385
242, on, 2384
243, off, 2392
244, off, 2384
245, off, 2384
246, on, 2384
247, on, 2384
248, on, 2384
249, off, 2384
250, off, 2384
251, off, 2385
252, on, 2385
253, on, 2384
254, on, 2384
255, off, 2384
256, off, 2384
257, off, 2384
258, on, 2384
259, on, 2384
260, on, 2384
261, off, 2384
262, off, 2384
263, off, 2384
264, on, 2385
265, on, 2384
266, on, 2384
