tag, value
0, on, 2392
1, on, 2400
2, on, 2401
3, off, 2401
4, off, 2400
5, off, 2400
6, on, 2400
7, on, 2400
8, on, 2400
9, off, 2400
10, off, 2400
11, off, 2400
12, on, 2401
13, on, 2400
14, on, 2400
15, off, 2400
16, off, 2400
17, off, 2400
18, on, 2400
19, on, 2400
20, on, 2400
21, off, 2401
22, off, 2400
23, off, 2400
24, on, 2400
25, on, 2400
26, on, 2400
27, off, 2400
28, off, 2400
29, off, 2401
30, on, 2400
31, on, 2393
32, on, 2400
33, off, 2400
34, off, 2400
35, off, 2400
36, on, 2400
37, on, 2400
38, on, 2400
39, off, 2400
40, off, 2400
41, off, 2400
42, on, 2401
43, on, 2392
44, on, 2392
45, off, 2400
46, off, 2392
47, off, 2400
48, on, 2400
49, on, 2400
50, on, 2392
51, off, 2401
52, off, 2392
53, off, 2401
54, on, 2400
55, on, 2400
56, on, 2400
57, off, 2401
58, off, 2401
59, off, 2400
60, on, 2400
61, on, 2400
62, on, 2392
63, off, 2400
64, off, 2393
65, off, 2401
66, on, 2400
67, on, 2400
68, on, 2392
69, off, 2400
70, off, 2401
71, off, 2400
72, on, 2401
73, on, 2400
74, on, 2400
75, off, 2401
76, off, 2400
77, off, 2392
78, on, 2400
79, on, 2401
80, on, 2384
81, off, 2400
82, off, 2400
83, off, 2400
84, on, 2400
85, on, 2400
86, on, 2400
87, off, 2400
88, off, 2400
89, off, 2392
90, on, 2401
91, on, 2400
92, on, 2400
93, off, 2400
94, off, 2400
95, off, 2400
96, on, 2385
97, on, 2393
98, on, 2392
99, off, 2400
100, off, 2401
101, off, 2400
102, on, 2400
103, on, 2393
104, on, 2400
105, off, 2393
106, off, 2400
107, off, 2393
108, on, 2400
109, on, 2385
110, on, 2392
111, off, 2401
112, off, 2400
113, off, 2400
114, on, 2401
115, on, 2400
116, on, 2401
117, off, 2401
118, off, 2400
119, off, 2401
120, on, 2401
121, on, 2400
122, on, 2392
123, off, 2400
124, off, 2400
125, off, 2400
126, on, 2401
127, on, 2400
128, on, 2400
129, off, 2400
130, off, 2400
131, off, 2400
132, on, 2400
133, on, 2400
134, on, 2392
135, off, 2400
136, off, 2400
137, off, 2401
138, on, 2400
139, on, 2400
140, on, 2400
141, off, 2400
142, off, 2400
143, off, 2400
144, on, 2401
145, on, 2400
146, on, 2400
147, off, 2401
148, off, 2400
149, off, 2400
150, on, 2393
151, on, 2393
152, on, 2400
153, off, 2392
154, off, 2393
155, off, 2400
156, on, 2392
157, on, 2392
158, on, 2400
159, off, 2400
160, off, 2392
161, off, 2392
162, on, 2400
163, on, 2400
164, on, 2400
165, off, 2400
166, off, 2400
167, off, 2401
168, on, 2400
169, on, 2400
170, on, 2400
171, off, 2401
172, off, 2400
173, off, 2400
174, on, 2400
175, on, 2400
176, on, 2400
177, off, 2400
178, off, 2400
179, off, 2400
180, on, 2400
181, on, 2400
182, on, 2400
183, off, 2400
184, off, 2400
185, off, 2400
186, on, 2401
187, on, 2401
188, on, 2400
189, off, 2400
190, off, 2393
191, off, 2392
192, on, 2400
193, on, 2400
194, on, 2400
195, off, 2400
196, off, 2400
197, off, 2401
198, on, 2400
199, on, 2393
200, on, 2401
201, off, 2400
202, off, 2400
203, off, 2400
204, on, 2401
205, on, 2401
206, on, 2400
207, off, 2400
208, off, 2400
209, off, 2392
210, on, 2400
211, on, 2392
212, on, 2392
213, off, 2400
214, off, 2401
215, off, 2393
216, on, 2400
217, on, 2392
218, on, 2384
219, off, 2401
220, off, 2392
221, off, 2401
222, on, 2400
223, on, 2392
224, on, 2400
225, off, 2400
226, off, 2392
227, off, 2400
228, on, 2400
229, on, 2400
230, on, 2400
231, off, 2401
232, off, 2400
233, off, 2393
234, on, 2392
235, on, 2400
236, on, 2400
237, off, 2400
238, off, 2400
239, off, 2400
240, on, 2401
241, on, 2400
242, on, 2400
243, off, 2401
244, off, 2400
245, off, 2400
246, on, 2400
247, on, 2392
248, on, 2385
249, off, 2400
250, off, 2392
251, off, 2400
252, on, 2400
253, on, 2385
254, on, 2400
255, off, 2400
256, off, 2400
257, off, 2392
258, on, 2401
259, on, 2400
260, on, 2401
261, off, 2392
262, off, 2400
263, off, 2400
264, on, 2400
265, on, 2400
266, on, 2392
267, off, 2401
268, off, 2400
269, off, 2400
270, on, 2393
271, on, 2392
272, on, 2400
273, off, 2400
274, off, 2392
275, off, 2400
276, on, 2401
277, on, 2400
278, on, 2384
279, off, 2400
280, off, 2400
281, off, 2400
282, on, 2401
283, on, 2385
284, on, 2392
285, off, 2400
286, off, 2400
287, off, 2393
288, on, 2400
289, on, 2393
290, on, 2392
291, off, 2401
292, off, 2392
293, off, 2400
294, on, 2400
295, on, 2385
296, on, 2392
297, off, 2400
298, off, 2400
299, off, 2384
300, on, 2401
301, on, 2400
302, on, 2400
303, off, 2400
304, off, 2392
305, off, 2400
306, on, 2392
307, on, 2393
308, on, 2400
309, off, 2400
310, off, 2400
311, off, 2392
312, on, 2400
313, on, 2401
314, on, 2392
315, off, 2400
316, off, 2393
317, off, 2400
318, on, 2400
319, on, 2400
320, on, 2392
321, off, 2400
322, off, 2400
323, off, 2401
324, on, 2392
325, on, 2392
326, on, 2384
327, off, 2400
328, off, 2401
329, off, 2393
330, on, 2401
331, on, 2400
332, on, 2400
333, off, 2400
334, off, 2393
335, off, 2400
336, on, 2385
337, on, 2392
338, on, 2400
339, off, 2400
340, off, 2400
341, off, 2401
342, on, 2392
343, on, 2384
344, on, 2385
345, off, 2400
346, off, 2400
347, off, 2392
348, on, 2400
349, on, 2401
350, on, 2392
351, off, 2400
352, off, 2392
353, off, 2393
354, on, 2400
355, on, 2401
356, on, 2400
357, off, 2392
358, off, 2400
359, off, 2400
360, on, 2400
361, on, 2400
362, on, 2400
363, off, 2400
364, off, 2400
365, off, 2392
366, on, 2393
367, on, 2392
368, on, 2400
369, off, 2400
370, off, 2392
371, off, 2400
372, on, 2400
373, on, 2400
374, on, 2401
