tag, value
0, on, 2384
1, on, 2392
2, on, 2385
3, off, 2400
4, off, 2393
5, off, 2401
6, on, 2401
7, on, 2400
8, on, 2401
9, off, 2393
10, off, 2392
11, off, 2393
12, on, 2392
13, on, 2401
14, on, 2392
15, off, 2401
16, off, 2400
17, off, 2393
18, on, 2392
19, on, 2392
20, on, 2385
21, off, 2400
22, off, 2400
23, off, 2400
24, on, 2401
25, on, 2401
26, on, 2401
27, off, 2400
28, off, 2393
29, off, 2392
30, on, 2400
31, on, 2400
32, on, 2400
33, off, 2392
34, off, 2392
35, off, 2392
36, on, 2392
37, on, 2400
38, on, 2393
39, off, 2392
40, off, 2392
41, off, 2392
42, on, 2384
43, on, 2385
44, on, 2385
45, off, 2401
46, off, 2400
47, off, 2401
48, on, 2400
49, on, 2385
50, on, 2392
51, off, 2400
52, off, 2385
53, off, 2392
54, on, 2385
55, on, 2400
56, on, 2392
57, off, 2392
58, off, 2392
59, off, 2392
60, on, 2400
61, on, 2393
62, on, 2401
63, off, 2393
64, off, 2385
65, off, 2393
66, on, 2393
67, on, 2392
68, on, 2384
69, off, 2400
70, off, 2400
71, off, 2400
72, on, 2392
73, on, 2400
74, on, 2400
75, off, 2393
76, off, 2400
77, off, 2392
78, on, 2400
79, on, 2393
80, on, 2385
81, off, 2400
82, off, 2392
83, off, 2400
84, on, 2400
85, on, 2392
86, on, 2385
87, off, 2400
88, off, 2401
89, off, 2400
90, on, 2401
91, on, 2392
92, on, 2385
93, off, 2392
94, off, 2401
95, off, 2392
96, on, 2400
97, on, 2400
98, on, 2393
99, off, 2401
100, off, 2400
101, off, 2401
102, on, 2392
103, on, 2393
104, on, 2400
105, off, 2400
106, off, 2400
107, off, 2400
108, on, 2393
109, on, 2392
110, on, 2392
111, off, 2400
112, off, 2384
113, off, 2393
114, on, 2401
115, on, 2385
116, on, 2384
117, off, 2400
118, off, 2400
119, off, 2400
120, on, 2400
121, on, 2400
122, on, 2400
123, off, 2400
124, off, 2400
125, off, 2392
126, on, 2401
127, on, 2393
128, on, 2384
129, off, 2400
130, off, 2392
131, off, 2400
132, on, 2393
133, on, 2392
134, on, 2400
135, off, 2400
136, off, 2401
137, off, 2400
138, on, 2385
139, on, 2385
140, on, 2392
141, off, 2400
142, off, 2400
143, off, 2400
144, on, 2384
145, on, 2393
146, on, 2400
147, off, 2393
148, off, 2392
149, off, 2400
150, on, 2392
151, on, 2384
152, on, 2393
153, off, 2400
154, off, 2400
155, off, 2401
156, on, 2392
157, on, 2401
158, on, 2400
159, off, 2400
160, off, 2393
161, off, 2393
162, on, 2385
163, on, 2385
164, on, 2384
165, off, 2400
166, off, 2392
167, off, 2401
168, on, 2392
169, on, 2392
170, on, 2400
171, off, 2400
172, off, 2392
173, off, 2392
174, on, 2400
175, on, 2392
176, on, 2384
177, off, 2400
178, off, 2401
179, off, 2393
180, on, 2400
181, on, 2400
182, on, 2393
183, off, 2392
184, off, 2400
185, off, 2400
186, on, 2392
187, on, 2393
188, on, 2400
189, off, 2400
190, off, 2393
191, off, 2400
192, on, 2400
193, on, 2400
194, on, 2400
195, off, 2400
196, off, 2401
197, off, 2400
198, on, 2392
199, on, 2392
200, on, 2384
201, off, 2384
202, off, 2384
203, off, 2384
204, on, 2400
205, on, 2392
206, on, 2393
207, off, 2401
208, off, 2392
209, off, 2401
210, on, 2393
211, on, 2401
212, on, 2392
213, off, 2400
214, off, 2401
215, off, 2400
216, on, 2385
217, on, 2392
218, on, 2384
219, off, 2400
220, off, 2400
221, off, 2392
222, on, 2400
223, on, 2392
224, on, 2384
225, off, 2400
226, off, 2400
227, off, 2400
228, on, 2392
229, on, 2392
230, on, 2384
231, off, 2400
232, off, 2400
233, off, 2400
234, on, 2400
235, on, 2400
236, on, 2385
237, off, 2401
238, off, 2401
239, off, 2385
240, on, 2392
241, on, 2392
242, on, 2392
243, off, 2392
244, off, 2400
245, off, 2400
246, on, 2400
247, on, 2400
248, on, 2401
249, off, 2400
250, off, 2400
251, off, 2400
252, on, 2400
253, on, 2384
254, on, 2400
255, off, 2400
256, off, 2400
257, off, 2400
258, on, 2400
259, on, 2384
260, on, 2400
261, off, 2401
262, off, 2401
263, off, 2400
264, on, 2400
265, on, 2393
266, on, 2392
267, off, 2400
268, off, 2384
269, off, 2392
270, on, 2401
271, on, 2392
272, on, 2400
273, off, 2400
274, off, 2401
275, off, 2400
276, on, 2400
277, on, 2393
278, on, 2400
279, off, 2400
280, off, 2401
281, off, 2384
282, on, 2392
283, on, 2400
284, on, 2400
285, off, 2401
286, off, 2400
287, off, 2401
288, on, 2400
289, on, 2393
290, on, 2385
291, off, 2392
292, off, 2400
293, off, 2401
294, on, 2400
295, on, 2392
296, on, 2392
297, off, 2400
298, off, 2401
299, off, 2401
300, on, 2400
301, on, 2385
302, on, 2392
303, off, 2400
304, off, 2392
305, off, 2392
306, on, 2400
307, on, 2392
308, on, 2400
309, off, 2400
310, off, 2400
311, off, 2400
312, on, 2400
313, on, 2401
314, on, 2400
315, off, 2393
316, off, 2400
317, off, 2400
318, on, 2400
319, on, 2400
320, on, 2384
321, off, 2400
322, off, 2392
323, off, 2400
324, on, 2400
325, on, 2400
326, on, 2400
327, off, 2400
328, off, 2392
329, off, 2401
330, on, 2400
331, on, 2393
332, on, 2400
333, off, 2400
334, off, 2400
335, off, 2400
336, on, 2400
337, on, 2401
338, on, 2400
339, off, 2400
340, off, 2393
341, off, 2400
342, on, 2393
343, on, 2393
344, on, 2393
345, off, 2400
346, off, 2392
347, off, 2393
348, on, 2400
349, on, 2384
350, on, 2384
351, off, 2393
352, off, 2400
353, off, 2400
354, on, 2400
355, on, 2393
356, on, 2392
357, off, 2401
358, off, 2392
359, off, 2400
360, on, 2393
361, on, 2392
362, on, 2401
363, off, 2401
364, off, 2393
365, off, 2400
366, on, 2400
367, on, 2392
368, on, 2401
369, off, 2400
370, off, 2400
371, off, 2400
372, on, 2392
373, on, 2400
374, on, 2400
375, off, 2400
376, off, 2400
377, off, 2400
378, on, 2400
379, on, 2392
380, on, 2392
381, off, 2400
382, off, 2393
383, off, 2400
384, on, 2400
385, on, 2400
386, on, 2392
387, off, 2401
388, off, 2400
389, off, 2384
390, on, 2400
391, on, 2400
392, on, 2393
393, off, 2400
394, off, 2384
395, off, 2393
396, on, 2400
397, on, 2392
398, on, 2385
399, off, 2400
400, off, 2401
401, off, 2400
402, on, 2392
403, on, 2392
404, on, 2400
405, off, 2400
406, off, 2400
407, off, 2385
408, on, 2384
409, on, 2384
410, on, 2393
411, off, 2400
412, off, 2393
413, off, 2393
414, on, 2400
415, on, 2401
416, on, 2400
417, off, 2400
418, off, 2400
419, off, 2392
420, on, 2400
421, on, 2392
422, on, 2392
423, off, 2400
424, off, 2401
425, off, 2393
426, on, 2392
427, on, 2400
428, on, 2392
429, off, 2400
430, off, 2400
