tag, value
0, on, 2384
1, on, 2392
2, on, 2384
3, off, 2400
4, off, 2401
5, off, 2400
6, on, 2392
7, on, 2392
8, on, 2401
9, off, 2400
10, off, 2400
11, off, 2400
12, on, 2400
13, on, 2400
14, on, 2400
15, off, 2400
16, off, 2400
17, off, 2400
18, on, 2400
19, on, 2393
20, on, 2400
21, off, 2400
22, off, 2393
23, off, 2400
24, on, 2385
25, on, 2400
26, on, 2392
27, off, 2401
28, off, 2400
29, off, 2401
30, on, 2392
31, on, 2393
32, on, 2393
33, off, 2400
34, off, 2401
35, off, 2400
36, on, 2401
37, on, 2392
38, on, 2392
39, off, 2400
40, off, 2400
41, off, 2392
42, on, 2400
43, on, 2392
44, on, 2400
45, off, 2392
46, off, 2384
47, off, 2384
48, on, 2400
49, on, 2401
50, on, 2400
51, off, 2401
52, off, 2400
53, off, 2400
54, on, 2392
55, on, 2385
56, on, 2385
57, off, 2392
58, off, 2400
59, off, 2401
60, on, 2392
61, on, 2400
62, on, 2400
63, off, 2400
64, off, 2393
65, off, 2401
66, on, 2400
67, on, 2392
68, on, 2393
69, off, 2393
70, off, 2401
71, off, 2400
72, on, 2400
73, on, 2385
74, on, 2400
75, off, 2400
76, off, 2400
77, off, 2400
78, on, 2393
79, on, 2384
80, on, 2385
81, off, 2400
82, off, 2392
83, off, 2384
84, on, 2400
85, on, 2400
86, on, 2400
87, off, 2393
88, off, 2401
89, off, 2400
90, on, 2392
91, on, 2384
92, on, 2392
93, off, 2400
94, off, 2400
95, off, 2393
96, on, 2400
97, on, 2392
98, on, 2400
99, off, 2400
100, off, 2392
101, off, 2384
102, on, 2400
103, on, 2392
104, on, 2385
105, off, 2400
106, off, 2401
107, off, 2392
108, on, 2384
109, on, 2392
110, on, 2401
111, off, 2393
112, off, 2400
113, off, 2400
114, on, 2401
115, on, 2392
116, on, 2385
117, off, 2393
118, off, 2393
119, off, 2400
120, on, 2392
121, on, 2385
122, on, 2400
123, off, 2401
124, off, 2400
125, off, 2400
126, on, 2400
127, on, 2392
128, on, 2392
129, off, 2400
130, off, 2400
131, off, 2400
132, on, 2384
133, on, 2384
134, on, 2393
135, off, 2400
136, off, 2400
137, off, 2401
138, on, 2385
139, on, 2393
140, on, 2392
141, off, 2401
142, off, 2393
143, off, 2400
144, on, 2385
145, on, 2392
146, on, 2384
147, off, 2400
148, off, 2392
149, off, 2401
150, on, 2392
151, on, 2400
152, on, 2392
153, off, 2400
154, off, 2400
155, off, 2392
156, on, 2400
157, on, 2401
158, on, 2393
159, off, 2385
160, off, 2392
161, off, 2393
162, on, 2392
163, on, 2400
164, on, 2393
165, off, 2400
166, off, 2400
167, off, 2400
168, on, 2385
169, on, 2401
170, on, 2392
171, off, 2385
172, off, 2392
173, off, 2393
174, on, 2393
175, on, 2400
176, on, 2400
177, off, 2401
178, off, 2400
179, off, 2385
180, on, 2400
181, on, 2400
182, on, 2400
183, off, 2392
184, off, 2400
185, off, 2392
186, on, 2400
187, on, 2393
188, on, 2384
189, off, 2400
190, off, 2400
191, off, 2385
192, on, 2400
193, on, 2400
194, on, 2400
195, off, 2401
196, off, 2385
197, off, 2392
198, on, 2401
199, on, 2401
200, on, 2385
201, off, 2400
202, off, 2392
203, off, 2401
204, on, 2392
205, on, 2393
206, on, 2393
207, off, 2401
208, off, 2392
209, off, 2401
210, on, 2392
211, on, 2400
212, on, 2384
213, off, 2400
214, off, 2400
215, off, 2392
216, on, 2393
217, on, 2385
218, on, 2384
219, off, 2400
220, off, 2400
221, off, 2400
222, on, 2400
223, on, 2385
224, on, 2384
225, off, 2401
226, off, 2400
227, off, 2401
228, on, 2392
229, on, 2400
230, on, 2392
231, off, 2400
232, off, 2401
233, off, 2400
234, on, 2392
235, on, 2400
236, on, 2393
237, off, 2392
238, off, 2400
239, off, 2400
240, on, 2400
241, on, 2392
242, on, 2400
243, off, 2401
244, off, 2392
245, off, 2400
246, on, 2400
247, on, 2392
248, on, 2400
249, off, 2392
250, off, 2392
251, off, 2392
252, on, 2400
253, on, 2401
254, on, 2400
255, off, 2400
256, off, 2400
257, off, 2400
258, on, 2392
259, on, 2401
260, on, 2384
261, off, 2384
262, off, 2385
263, off, 2401
264, on, 2400
265, on, 2385
266, on, 2392
267, off, 2392
268, off, 2385
269, off, 2393
270, on, 2384
271, on, 2385
272, on, 2400
273, off, 2392
274, off, 2385
275, off, 2401
276, on, 2392
277, on, 2384
278, on, 2392
279, off, 2392
280, off, 2393
281, off, 2401
282, on, 2384
283, on, 2392
284, on, 2385
285, off, 2401
286, off, 2400
287, off, 2392
288, on, 2400
289, on, 2401
290, on, 2393
291, off, 2401
292, off, 2401
293, off, 2393
294, on, 2401
295, on, 2384
296, on, 2400
297, off, 2401
298, off, 2401
299, off, 2393
300, on, 2400
301, on, 2392
302, on, 2400
303, off, 2393
304, off, 2393
305, off, 2400
306, on, 2401
307, on, 2392
308, on, 2392
309, off, 2393
310, off, 2400
311, off, 2392
312, on, 2384
313, on, 2385
314, on, 2400
315, off, 2400
316, off, 2392
317, off, 2400
318, on, 2400
319, on, 2392
320, on, 2392
321, off, 2400
322, off, 2385
323, off, 2384
324, on, 2393
325, on, 2401
326, on, 2400
327, off, 2392
328, off, 2392
329, off, 2401
330, on, 2384
331, on, 2392
332, on, 2384
333, off, 2400
334, off, 2385
335, off, 2384
336, on, 2401
337, on, 2393
338, on, 2393
339, off, 2392
340, off, 2392
341, off, 2400
342, on, 2400
343, on, 2392
344, on, 2385
345, off, 2392
346, off, 2392
347, off, 2392
348, on, 2385
349, on, 2393
350, on, 2393
351, off, 2392
352, off, 2384
353, off, 2384
354, on, 2384
355, on, 2392
356, on, 2392
357, off, 2384
358, off, 2385
359, off, 2392
360, on, 2393
361, on, 2384
362, on, 2392
363, off, 2400
364, off, 2393
365, off, 2400
366, on, 2385
367, on, 2384
368, on, 2392
369, off, 2401
370, off, 2400
371, off, 2384
372, on, 2384
373, on, 2392
374, on, 2400
375, off, 2392
376, off, 2400
377, off, 2393
378, on, 2392
379, on, 2392
380, on, 2392
381, off, 2392
382, off, 2392
383, off, 2385
384, on, 2400
385, on, 2393
386, on, 2392
387, off, 2400
388, off, 2392
389, off, 2392
390, on, 2392
391, on, 2385
392, on, 2392
393, off, 2400
394, off, 2392
395, off, 2392
396, on, 2392
397, on, 2385
398, on, 2392
399, off, 2400
400, off, 2400
401, off, 2384
402, on, 2392
403, on, 2392
404, on, 2400
405, off, 2401
406, off, 2393
407, off, 2385
408, on, 2392
409, on, 2392
410, on, 2400
411, off, 2393
412, off, 2393
413, off, 2400
414, on, 2400
415, on, 2400
416, on, 2400
417, off, 2400
418, off, 2400
419, off, 2385
420, on, 2392
421, on, 2392
422, on, 2400
423, off, 2400
424, off, 2392
425, off, 2384
426, on, 2384
427, on, 2392
428, on, 2393
429, off, 2400
430, off, 2392
