tag, value
0, on, 2384
1, on, 2385
2, on, 2384
3, off, 2384
4, off, 2385
5, off, 2384
6, on, 2385
7, on, 2384
8, on, 2384
9, off, 2384
10, off, 2384
11, off, 2384
12, on, 2384
13, on, 2384
14, on, 2385
15, off, 2384
16, off, 2385
17, off, 2385
18, on, 2384
19, on, 2384
20, on, 2385
21, off, 2384
22, off, 2384
23, off, 2384
24, on, 2384
25, on, 2384
26, on, 2384
27, off, 2384
28, off, 2384
29, off, 2385
30, on, 2384
31, on, 2384
32, on, 2384
33, off, 2384
34, off, 2384
35, off, 2385
36, on, 2385
37, on, 2384
38, on, 2392
39, off, 2384
40, off, 2384
41, off, 2384
42, on, 2384
43, on, 2384
44, on, 2384
45, off, 2385
46, off, 2384
47, off, 2384
48, on, 2385
49, on, 2384
50, on, 2384
51, off, 2384
52, off, 2385
53, off, 2384
54, on, 2384
55, on, 2392
56, on, 2384
57, off, 2384
58, off, 2384
59, off, 2384
60, on, 2384
61, on, 2384
62, on, 2384
63, off, 2384
64, off, 2384
65, off, 2384
66, on, 2385
67, on, 2384
68, on, 2385
69, off, 2384
70, off, 2384
71, off, 2385
72, on, 2384
73, on, 2384
74, on, 2392
75, off, 2385
76, off, 2384
77, off, 2384
78, on, 2385
79, on, 2384
80, on, 2384
81, off, 2393
82, off, 2392
83, off, 2384
84, on, 2385
85, on, 2384
86, on, 2384
87, off, 2385
88, off, 2384
89, off, 2384
90, on, 2384
91, on, 2384
92, on, 2384
93, off, 2384
94, off, 2384
95, off, 2385
96, on, 2385
97, on, 2384
98, on, 2384
99, off, 2384
100, off, 2385
101, off, 2384
102, on, 2384
103, on, 2384
104, on, 2384
105, off, 2385
106, off, 2392
107, off, 2384
108, on, 2384
109, on, 2384
110, on, 2385
111, off, 2392
112, off, 2385
113, off, 2384
114, on, 2385
115, on, 2384
116, on, 2384
117, off, 2384
118, off, 2384
119, off, 2384
120, on, 2385
121, on, 2384
122, on, 2384
123, off, 2384
124, off, 2385
125, off, 2385
126, on, 2385
127, on, 2385
128, on, 2384
129, off, 2384
130, off, 2384
131, off, 2385
132, on, 2384
133, on, 2384
134, on, 2384
135, off, 2392
136, off, 2384
137, off, 2384
138, on, 2384
139, on, 2385
140, on, 2385
141, off, 2384
142, off, 2384
143, off, 2384
144, on, 2384
145, on, 2392
146, on, 2385
147, off, 2384
148, off, 2384
149, off, 2385
150, on, 2385
151, on, 2384
152, on, 2384
153, off, 2384
154, off, 2384
155, off, 2384
156, on, 2384
157, on, 2385
158, on, 2384
159, off, 2384
160, off, 2384
161, off, 2384
162, on, 2384
163, on, 2384
164, on, 2384
165, off, 2393
166, off, 2384
167, off, 2385
168, on, 2384
169, on, 2385
170, on, 2393
171, off, 2384
172, off, 2384
173, off, 2376
174, on, 2384
175, on, 2384
176, on, 2384
177, off, 2384
178, off, 2385
179, off, 2384
180, on, 2384
181, on, 2384
182, on, 2384
183, off, 2385
184, off, 2384
185, off, 2384
186, on, 2384
187, on, 2384
188, on, 2385
189, off, 2384
190, off, 2384
191, off, 2384
192, on, 2384
193, on, 2384
194, on, 2384
195, off, 2385
196, off, 2385
197, off, 2384
198, on, 2385
199, on, 2384
200, on, 2384
201, off, 2384
202, off, 2385
203, off, 2384
204, on, 2384
205, on, 2384
206, on, 2384
207, off, 2384
208, off, 2384
209, off, 2384
210, on, 2385
211, on, 2384
212, on, 2384
213, off, 2385
214, off, 2384
215, off, 2385
216, on, 2385
217, on, 2392
218, on, 2384
219, off, 2384
220, off, 2384
221, off, 2384
222, on, 2384
223, on, 2384
224, on, 2385
225, off, 2393
226, off, 2384
227, off, 2384
228, on, 2384
229, on, 2384
230, on, 2384
231, off, 2393
232, off, 2392
233, off, 2385
234, on, 2392
235, on, 2384
236, on, 2385
237, off, 2392
238, off, 2392
239, off, 2384
240, on, 2384
241, on, 2384
242, on, 2384
243, off, 2384
244, off, 2384
245, off, 2385
246, on, 2384
247, on, 2384
248, on, 2384
249, off, 2384
250, off, 2392
251, off, 2384
252, on, 2385
253, on, 2384
254, on, 2384
255, off, 2384
256, off, 2384
257, off, 2384
258, on, 2384
259, on, 2384
260, on, 2385
261, off, 2384
262, off, 2385
263, off, 2384
264, on, 2384
265, on, 2385
266, on, 2384
267, off, 2392
268, off, 2384
269, off, 2385
270, on, 2384
271, on, 2385
272, on, 2384
273, off, 2384
274, off, 2384
275, off, 2385
276, on, 2392
277, on, 2384
278, on, 2385
279, off, 2392
280, off, 2384
281, off, 2385
282, on, 2385
283, on, 2385
284, on, 2384
285, off, 2385
286, off, 2392
287, off, 2385
288, on, 2385
289, on, 2384
290, on, 2385
291, off, 2384
292, off, 2384
293, off, 2393
294, on, 2384
295, on, 2384
296, on, 2385
297, off, 2384
298, off, 2384
299, off, 2385
300, on, 2392
301, on, 2384
302, on, 2385
303, off, 2384
304, off, 2384
305, off, 2384
306, on, 2384
307, on, 2385
308, on, 2384
309, off, 2384
310, off, 2384
311, off, 2384
312, on, 2384
313, on, 2384
314, on, 2384
315, off, 2385
316, off, 2384
317, off, 2385
318, on, 2384
319, on, 2384
320, on, 2384
321, off, 2385
322, off, 2384
323, off, 2384
324, on, 2392
325, on, 2384
326, on, 2385
327, off, 2392
328, off, 2384
329, off, 2384
330, on, 2392
331, on, 2384
332, on, 2384
333, off, 2384
334, off, 2384
335, off, 2384
336, on, 2384
337, on, 2392
338, on, 2384
339, off, 2384
340, off, 2384
341, off, 2384
342, on, 2384
343, on, 2384
344, on, 2384
345, off, 2384
346, off, 2384
347, off, 2392
348, on, 2384
349, on, 2384
350, on, 2384
351, off, 2385
352, off, 2384
353, off, 2384
354, on, 2385
355, on, 2384
356, on, 2384
357, off, 2392
358, off, 2384
359, off, 2384
360, on, 2392
361, on, 2384
362, on, 2384
363, off, 2384
364, off, 2384
365, off, 2384
366, on, 2384
367, on, 2384
368, on, 2392
369, off, 2385
370, off, 2385
371, off, 2384
372, on, 2385
373, on, 2384
374, on, 2392
375, off, 2385
376, off, 2384
377, off, 2392
378, on, 2384
379, on, 2384
380, on, 2384
381, off, 2384
382, off, 2384
383, off, 2385
384, on, 2385
385, on, 2384
386, on, 2384
387, off, 2385
388, off, 2384
389, off, 2384
390, on, 2385
391, on, 2384
392, on, 2384
393, off, 2384
394, off, 2392
395, off, 2384
396, on, 2384
397, on, 2384
398, on, 2384
399, off, 2384
400, off, 2384
401, off, 2385
402, on, 2384
403, on, 2385
404, on, 2384
405, off, 2392
406, off, 2384
407, off, 2384
408, on, 2384
409, on, 2385
410, on, 2384
411, off, 2385
412, off, 2384
413, off, 2384
414, on, 2384
415, on, 2385
416, on, 2384
417, off, 2384
418, off, 2384
